requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"50","1","1","12794","2790","2790","12794","2790","5000",
"50","2","1","12693","2790","2790","12744","2790","5000",
"50","3","1","12596","2790","2790","12694","2790","5000",
"50","4","1","12497","2790","2790","12645","2790","5000",
"50","5","1","12391","2790","2790","12594","2790","5000",
"50","6","1","12295","2790","2790","12544","2790","5000",
"50","7","1","12195","2790","2790","12494","2790","5000",
"50","8","1","12092","2790","2790","12444","2790","5000",
"50","9","1","11999","2790","2790","12395","2790","5000",
"50","10","1","11898","2790","2790","12345","2790","5000",
"50","11","1","11793","2790","2790","12295","2790","5000",
"50","12","1","11692","2790","2790","12244","2790","5000",
"50","13","1","11596","2790","2790","12195","2790","5000",
"50","14","1","11497","2790","2790","12145","2790","5000",
"50","15","1","11393","2790","2790","12095","2790","5000",
"50","16","1","11295","2790","2790","12045","2790","5000",
"50","17","1","11201","2790","2790","11995","2790","5000",
"50","18","1","11095","2790","2790","11945","2790","5000",
"50","19","1","10995","2790","2790","11895","2790","5000",
"50","20","1","10897","2790","2790","11845","2790","5000",
"50","21","1","10793","2790","2790","11795","2790","5000",
"50","22","1","10694","2790","2790","11745","2790","5000",
"50","23","1","10594","2790","2790","11695","2790","5000",
"50","24","1","10500","2790","2790","11645","2790","5000",
"50","25","1","10396","2790","2790","11595","2790","5000",
"50","26","1","10296","2790","2790","11545","2790","5000",
"50","27","1","10199","2790","2790","11495","2790","5000",
"50","28","1","10099","2790","2790","11445","2790","5000",
"50","29","1","10004","2790","2790","11396","2790","5000",
"50","30","1","9901","2790","2790","11346","2790","5000",
"50","31","1","9805","2790","2790","11296","2790","5000",
"50","32","1","9699","2790","2790","11246","2790","5000",
"50","33","1","9599","2790","2790","11196","2790","5000",
"50","34","1","9502","2790","2790","11147","2790","5000",
"50","35","1","9403","2790","2790","11097","2790","5000",
"50","36","1","9299","2790","2790","11047","2790","5000",
"50","37","1","9202","2790","2790","10997","2790","5000",
"50","38","1","9100","2790","2790","10947","2790","5000",
"50","39","1","9007","2790","2790","10898","2790","5000",
"50","40","1","8899","2790","2790","10848","2790","5000",
"50","41","1","8803","2790","2790","10798","2790","5000",
"50","42","1","8705","2790","2790","10748","2790","5000",
"50","43","1","8601","2790","2790","10698","2790","5000",
"50","44","1","8503","2790","2790","10648","2790","5000",
"50","45","1","8408","2790","2790","10598","2790","5000",
"50","46","1","8304","2790","2790","10548","2790","5000",
"50","47","1","8203","2790","2790","10498","2790","5000",
"50","48","1","8105","2790","2790","10448","2790","5000",
"50","49","1","8001","2790","2790","10399","2790","5000",
"50","50","1","7906","2790","2790","10349","2790","5000",
