requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"31","1","1","3298","2895","2895","3298","2739","200",
"31","2","1","3197","2895","2895","3248","2739","200",
"31","3","1","3097","2895","2895","3197","2739","200",
"38","4","3","3626","3320","4594","3304","3013","200",
"38","5","3","3525","3320","3065","3349","3013","200",
"43","6","4","4129","3822","4235","3479","3243","200",
"43","7","4","4026","3822","3817","3557","3243","200",
"47","8","5","4552","4245","4394","3682","3458","200",
"47","9","5","4452","4245","4249","3767","3458","200",
"50","10","6","4903","4593","4621","3881","3661","200",
"50","11","6","4803","4593","4580","3964","3661","200",
"50","12","7","5409","5099","5138","4085","3878","200",
"50","13","7","5309","5099","5219","4179","3878","200",
"50","14","8","5987","5675","5803","4308","4113","200",
"50","15","8","5886","5675","5934","4413","4113","200",
"50","16","9","6181","5868","6075","4524","4315","200",
"50","17","9","6081","5868","6045","4616","4315","200",
"50","18","10","6526","6217","6259","4721","4512","200",
"50","19","10","6430","6217","6304","4811","4512","200",
"50","20","11","6962","6648","6612","4919","4712","200",
"50","21","11","6856","6648","6730","5011","4712","200",
"50","22","12","7776","7461","7336","5137","5069","200",
"50","23","12","7670","7461","7645","5247","5069","200",
"50","24","13","8245","7929","8083","5372","5283","200",
"50","25","13","8145","7929","8295","5483","5283","200",
"50","26","14","8378","8062","8448","5594","5478","200",
"50","27","14","8274","8062","8485","5694","5478","200",
"50","28","15","8652","8334","8610","5799","5664","200",
"50","29","15","8548","8334","8643","5894","5664","200",
"50","30","17","9083","8765","8849","6000","5911","200",
"50","31","17","8984","8765","8950","6097","5911","200",
"50","32","18","9437","9117","9158","6201","6092","200",
"50","33","18","9333","9117","9269","6296","6092","200",
"50","34","19","9916","9596","9538","6402","6279","200",
"50","35","19","9814","9596","9702","6500","6279","200",
"50","36","20","10274","9952","9946","6604","6465","200",
"50","37","20","10168","9952","10096","6701","6465","200",
"50","38","21","10620","10298","10323","6804","6650","200",
"50","39","21","10520","10298","10464","6899","6650","200",
"50","40","22","11044","10721","10709","7003","6838","200",
"50","41","22","10939","10721","10870","7099","6838","200",
"50","42","23","11398","11075","11100","7201","7025","200",
"50","43","23","11299","11075","11252","7296","7025","200",
"50","44","24","11819","11495","11497","7400","7213","200",
"50","45","24","11719","11495","11664","7496","7213","200",
"50","46","25","12160","11835","11888","7597","7401","200",
"50","47","25","12065","11835","12041","7692","7401","200",
"50","48","26","12585","12259","12281","7794","7589","200",
"50","49","26","12485","12259","12449","7889","7589","200",
"50","50","27","12935","12608","12674","7990","7778","200",
