obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"36","1","1","4589","2589","4589","2589","1000",
"36","2","1","4491","2589","4540","2589","1000",
"36","3","1","4391","2589","4490","2589","1000",
"36","4","1","4291","2589","4441","2589","1000",
"36","5","1","4191","2589","4391","2589","1000",
"36","6","1","4091","2589","4341","2589","1000",
"36","7","1","3991","2589","4291","2589","1000",
"36","8","1","3891","2589","4241","2589","1000",
"36","9","1","3791","2589","4191","2589","1000",
"36","10","1","3690","2589","4141","2589","1000",
"36","11","1","3590","2589","4091","2589","1000",
"50","12","3","4895","2955","4158","2932","1000",
"50","13","3","4796","2955","4207","2932","1000",
"50","14","3","4695","2955","4242","2932","1000",
"50","15","3","4595","2955","4265","2932","1000",
"50","16","3","4495","2955","4280","2932","1000",
"50","17","3","4395","2955","4286","2932","1000",
"50","18","3","4294","2955","4287","2932","1000",
"50","19","3","4194","2955","4282","2932","1000",
"50","20","3","4095","2955","4273","2932","1000",
"50","21","3","3994","2955","4259","2932","1000",
"50","22","4","4362","2420","4264","2804","1000",
"50","23","4","4263","2420","4264","2804","1000",
"50","24","4","4163","2420","4260","2804","1000",
"50","25","4","4062","2420","4252","2804","1000",
"50","26","4","3963","2420","4241","2804","1000",
"50","27","4","3861","2420","4227","2804","1000",
"50","28","4","3761","2420","4210","2804","1000",
"50","29","4","3661","2420","4191","2804","1000",
"50","30","4","3561","2420","4170","2804","1000",
"50","31","4","3462","2420","4147","2804","1000",
"50","32","5","3831","1888","4137","2621","1000",
"50","33","5","3730","1888","4125","2621","1000",
"50","34","5","3631","1888","4110","2621","1000",
"50","35","5","3532","1888","4094","2621","1000",
"50","36","5","3432","1888","4076","2621","1000",
"50","37","5","3332","1888","4055","2621","1000",
"50","38","5","3232","1888","4034","2621","1000",
"50","39","5","3131","1888","4011","2621","1000",
"50","40","5","3031","1888","3986","2621","1000",
"50","41","5","2931","1888","3960","2621","1000",
"50","42","6","3535","1592","3950","2450","1000",
"50","43","6","3436","1592","3938","2450","1000",
"50","44","6","3335","1592","3925","2450","1000",
"50","45","6","3235","1592","3909","2450","1000",
"50","46","6","3136","1592","3892","2450","1000",
"50","47","6","3036","1592","3874","2450","1000",
"50","48","6","2935","1592","3855","2450","1000",
"50","49","6","2836","1592","3834","2450","1000",
"50","50","6","2736","1592","3812","2450","1000",
