requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"38","1","1","4161","3953","3953","4161","3953","100",
"38","2","1","4054","3953","3953","4108","3953","100",
"47","3","3","5058","4947","7535","4424","4513","100",
"50","4","4","5899","5788","5326","4793","4854","100",
"50","5","5","6730","6617","6545","5180","5233","100",
"50","6","6","7257","7144","6796","5527","5572","100",
"50","7","7","7701","7587","7173","5837","5874","100",
"50","8","8","8620","8505","8657","6185","6215","100",
"50","9","9","9298","9182","9605","6531","6558","100",
"50","10","10","9907","9791","10273","6869","6892","100",
"50","11","11","11019","10900","11608","7246","7269","100",
"50","12","12","11774","11654","12552","7623","7644","100",
"50","13","13","12182","12062","12915","7974","7992","100",
"50","14","14","13096","12976","13691","8340","8356","100",
"50","15","15","14530","14408","15179","8752","8766","100",
"50","16","16","14728","14606","15677","9126","9138","100",
"50","17","17","14906","14782","15723","9466","9476","100",
"50","18","18","15274","15149","15769","9789","9796","100",
"50","19","19","15799","15670","15987","10105","10110","100",
"50","20","20","16453","16319","16423","10422","10425","100",
"50","21","21","16891","16757","16828","10731","10731","100",
"50","22","22","17219","17078","17139","11025","11023","100",
"50","23","23","17752","17610","17555","11318","11313","100",
"50","24","24","18190","18042","17971","11604","11597","100",
"50","25","25","18715","18567","18453","11889","11879","100",
"50","26","26","19173","19024","18935","12169","12158","100",
"50","27","27","19686","19537","19453","12447","12434","100",
"50","28","28","20338","20187","20072","12729","12714","100",
"50","29","29","21099","20947","20816","13017","13001","100",
"50","30","30","21464","21312","21428","13299","13281","100",
"50","31","31","21885","21733","21977","13576","13556","100",
"50","32","32","22082","21927","22369","13842","13820","100",
"50","33","33","22605","22450","22811","14107","14084","100",
"50","34","34","23052","22895","23255","14370","14346","100",
"50","35","35","23580","23422","23737","14634","14608","100",
"50","36","36","24021","23862","24210","14894","14867","100",
"50","37","37","24547","24386","24711","15155","15127","100",
"50","38","38","24994","24832","25201","15414","15384","100",
"50","39","39","25525","25356","25714","15673","15642","100",
"50","40","40","25965","25796","26211","15931","15898","100",
"50","41","41","26496","26327","26730","16188","16154","100",
"50","42","42","26940","26769","27232","16444","16409","100",
"50","43","43","27463","27293","27752","16701","16664","100",
"50","44","44","27912","27740","28256","16955","16917","100",
"50","45","45","28485","28312","28793","17212","17172","100",
"50","46","46","28881","28706","29293","17466","17425","100",
"50","47","47","29379","29204","29799","17719","17677","100",
"50","48","48","29924","29749","30326","17973","17930","100",
"50","49","49","30349","30173","30827","18226","18182","100",
"50","50","50","30863","30686","31339","18478","18434","100",
