requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"29","1","1","3368","2366","2366","3368","2366","500",
"29","2","1","3267","2366","2366","3318","2366","500",
"29","3","1","3164","2366","2366","3266","2366","500",
"29","4","1","3064","2366","2366","3216","2366","500",
"29","5","1","2963","2366","2366","3165","2366","500",
"29","6","1","2868","2366","2366","3116","2366","500",
"37","7","3","3544","2632","2974","3177","2553","500",
"37","8","3","3441","2632","2860","3210","2553","500",
"37","9","3","3341","2632","2708","3225","2553","500",
"37","10","3","3235","2632","2606","3226","2553","500",
"37","11","3","3143","2632","2547","3218","2553","500",
"44","12","4","3745","2830","2783","3262","2659","500",
"44","13","4","3646","2830","2843","3291","2659","500",
"44","14","4","3545","2830","2840","3310","2659","500",
"44","15","4","3443","2830","2816","3318","2659","500",
"44","16","4","3341","2830","2790","3320","2659","500",
"49","17","6","4263","3345","3253","3375","2854","500",
"49","18","6","4162","3345","3465","3419","2854","500",
"49","19","6","4056","3345","3542","3453","2854","500",
"49","20","6","3960","3345","3547","3478","2854","500",
"49","21","6","3859","3345","3517","3496","2854","500",
"50","22","7","4385","3466","3559","3536","2943","500",
"50","23","7","4280","3466","3561","3569","2943","500",
"50","24","7","4185","3466","3541","3594","2943","500",
"50","25","7","4080","3466","3510","3614","2943","500",
"50","26","7","3985","3466","3476","3628","2943","500",
"50","27","8","4356","3436","3424","3655","3005","500",
"50","28","8","4254","3436","3380","3676","3005","500",
"50","29","8","4153","3436","3345","3693","3005","500",
"50","30","8","4053","3436","3316","3705","3005","500",
"50","31","8","3955","3436","3293","3713","3005","500",
"50","32","9","4408","3489","3302","3735","3059","500",
"50","33","9","4309","3489","3308","3752","3059","500",
"50","34","9","4209","3489","3313","3766","3059","500",
"50","35","9","4107","3489","3316","3775","3059","500",
"50","36","9","4004","3489","3320","3782","3059","500",
"50","37","10","4448","3527","3339","3800","3106","500",
"50","38","10","4349","3527","3355","3814","3106","500",
"50","39","10","4248","3527","3368","3825","3106","500",
"50","40","10","4150","3527","3379","3833","3106","500",
"50","41","10","4049","3527","3388","3839","3106","500",
"50","42","11","4575","3652","3443","3856","3157","500",
"50","43","11","4473","3652","3487","3871","3157","500",
"50","44","11","4376","3652","3522","3882","3157","500",
"50","45","11","4277","3652","3550","3891","3157","500",
"50","46","11","4172","3652","3572","3897","3157","500",
"50","47","12","4864","3939","3687","3918","3247","500",
"50","48","12","4764","3939","3780","3935","3247","500",
"50","49","12","4658","3939","3853","3950","3247","500",
"50","50","12","4565","3939","3911","3962","3247","500",
