obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"50","1","1","12785","2784","12785","2784","5000",
"50","2","1","12685","2784","12735","2784","5000",
"50","3","1","12585","2784","12685","2784","5000",
"50","4","1","12485","2784","12635","2784","5000",
"50","5","1","12385","2784","12585","2784","5000",
"50","6","1","12285","2784","12535","2784","5000",
"50","7","1","12185","2784","12485","2784","5000",
"50","8","1","12085","2784","12435","2784","5000",
"50","9","1","11985","2784","12385","2784","5000",
"50","10","1","11884","2784","12335","2784","5000",
"50","11","1","11786","2784","12285","2784","5000",
"50","12","1","11684","2784","12235","2784","5000",
"50","13","1","11585","2784","12185","2784","5000",
"50","14","1","11486","2784","12135","2784","5000",
"50","15","1","11385","2784","12085","2784","5000",
"50","16","1","11286","2784","12035","2784","5000",
"50","17","1","11186","2784","11985","2784","5000",
"50","18","1","11086","2784","11935","2784","5000",
"50","19","1","10986","2784","11885","2784","5000",
"50","20","1","10885","2784","11835","2784","5000",
"50","21","1","10786","2784","11785","2784","5000",
"50","22","1","10686","2784","11735","2784","5000",
"50","23","1","10586","2784","11685","2784","5000",
"50","24","1","10486","2784","11635","2784","5000",
"50","25","1","10386","2784","11585","2784","5000",
"50","26","1","10286","2784","11535","2784","5000",
"50","27","1","10185","2784","11485","2784","5000",
"50","28","1","10085","2784","11435","2784","5000",
"50","29","1","9986","2784","11385","2784","5000",
"50","30","1","9886","2784","11335","2784","5000",
"50","31","1","9785","2784","11285","2784","5000",
"50","32","1","9686","2784","11235","2784","5000",
"50","33","1","9586","2784","11185","2784","5000",
"50","34","1","9486","2784","11135","2784","5000",
"50","35","1","9386","2784","11085","2784","5000",
"50","36","1","9286","2784","11035","2784","5000",
"50","37","1","9186","2784","10985","2784","5000",
"50","38","1","9085","2784","10935","2784","5000",
"50","39","1","8985","2784","10885","2784","5000",
"50","40","1","8885","2784","10835","2784","5000",
"50","41","1","8786","2784","10785","2784","5000",
"50","42","1","8686","2784","10735","2784","5000",
"50","43","1","8586","2784","10685","2784","5000",
"50","44","1","8486","2784","10636","2784","5000",
"50","45","1","8385","2784","10585","2784","5000",
"50","46","1","8286","2784","10536","2784","5000",
"50","47","1","8186","2784","10486","2784","5000",
"50","48","1","8086","2784","10436","2784","5000",
"50","49","1","7986","2784","10386","2784","5000",
"50","50","1","7885","2784","10336","2784","5000",
