obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"25","1","1","2615","2215","2615","2215","200",
"25","2","1","2514","2215","2565","2215","200",
"25","3","1","2415","2215","2515","2215","200",
"39","4","3","3718","3392","2816","2910","200",
"39","5","3","3617","3392","2976","2910","200",
"46","6","4","4219","3892","3183","3156","200",
"46","7","4","4120","3892","3317","3156","200",
"50","8","5","4723","4394","3493","3403","200",
"50","9","5","4623","4394","3618","3403","200",
"50","10","6","4992","4661","3756","3613","200",
"50","11","6","4891","4661","3859","3613","200",
"50","12","7","5260","4929","3976","3801","200",
"50","13","7","5161","4929","4067","3801","200",
"50","14","8","5764","5432","4188","4005","200",
"50","15","8","5665","5432","4286","4005","200",
"50","16","9","6265","5932","4410","4219","200",
"50","17","9","6164","5932","4513","4219","200",
"50","18","10","7005","6670","4652","4464","200",
"50","19","10","6905","6670","4770","4464","200",
"50","20","11","7541","7206","4909","4713","200",
"50","21","11","7441","7206","5029","4713","200",
"50","22","12","7811","7474","5156","4943","200",
"50","23","12","7711","7474","5267","4943","200",
"50","24","13","8080","7741","5384","5159","200",
"50","25","13","7980","7741","5488","5159","200",
"50","26","14","8913","8579","5620","5403","200",
"50","27","14","8813","8579","5738","5403","200",
"50","28","15","8348","8009","5831","5577","200",
"50","29","15","8248","8009","5915","5577","200",
"50","30","16","8852","8511","6012","5760","200",
"50","31","16","8752","8511","6101","5760","200",
"50","32","17","9121","8779","6195","5938","200",
"50","33","17","9020","8779","6281","5938","200",
"50","34","18","9623","9280","6379","6123","200",
"50","35","18","9523","9280","6469","6123","200",
"50","36","19","9893","9548","6564","6304","200",
"50","37","19","9792","9548","6651","6304","200",
"50","38","20","10395","10049","6750","6491","200",
"50","39","20","10295","10049","6841","6491","200",
"50","40","21","10662","10315","6936","6673","200",
"50","41","21","10562","10315","7025","6673","200",
"50","42","22","11166","10818","7123","6861","200",
"50","43","22","11067","10818","7215","6861","200",
"50","44","23","11433","11084","7311","7045","200",
"50","45","23","11334","11084","7400","7045","200",
"50","46","24","11938","11589","7499","7234","200",
"50","47","24","11840","11589","7591","7234","200",
"50","48","25","12207","11855","7687","7419","200",
"50","49","25","12107","11855","7778","7419","200",
"50","50","26","12710","12357","7876","7609","200",
