obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"50","1","1","5799","5599","5799","5599","100",
"50","2","1","5700","5599","5750","5599","100",
"50","3","3","7236","7101","6245","6478","100",
"50","4","4","7840","7703","6644","6784","100",
"50","5","5","8911","8774","7097","7182","100",
"50","6","6","9515","9376","7500","7548","100",
"50","7","7","10119","9979","7874","7895","100",
"50","8","8","10956","10816","8260","8260","100",
"50","9","9","11327","11185","8600","8585","100",
"50","10","10","12163","12021","8957","8929","100",
"50","11","11","13000","12857","9324","9286","100",
"50","12","12","13604","13460","9681","9634","100",
"50","13","13","14909","14764","10083","10028","100",
"50","14","14","15042","14897","10437","10376","100",
"50","15","15","15412","15264","10769","10702","100",
"50","16","16","15780","15632","11082","11010","100",
"50","17","17","15915","15766","11366","11290","100",
"50","18","18","16281","16133","11639","11559","100",
"50","19","19","16886","16735","11916","11831","100",
"50","20","20","17258","17105","12183","12095","100",
"50","21","21","17858","17705","12453","12362","100",
"50","22","22","18228","18073","12715","12622","100",
"50","23","23","18831","18676","12981","12885","100",
"50","24","24","19200","19043","13240","13142","100",
"50","25","25","19803","19647","13503","13402","100",
"50","26","26","20173","20016","13759","13656","100",
"50","27","27","20774","20616","14019","13914","100",
"50","28","28","21141","20983","14274","14166","100",
"50","29","29","21745","21586","14531","14422","100",
"50","30","30","22116","21955","14784","14673","100",
"50","31","31","22717","22555","15040","14928","100",
"50","32","32","23086","22922","15291","15177","100",
"50","33","33","23690","23524","15546","15430","100",
"50","34","34","24057","23890","15796","15679","100",
"50","35","35","24661","24493","16050","15931","100",
"50","36","36","25030","24860","16299","16179","100",
"50","37","37","25635","25465","16551","16430","100",
"50","38","38","26003","25832","16800","16677","100",
"50","39","39","26606","26436","17051","16928","100",
"50","40","40","26977","26804","17300","17175","100",
"50","41","41","27584","27411","17550","17424","100",
"50","42","42","27947","27775","17798","17671","100",
"50","43","43","28551","28378","18048","17920","100",
"50","44","44","28920","28747","18295","18166","100",
"50","45","45","29522","29349","18545","18414","100",
"50","46","46","29890","29715","18791","18660","100",
"50","47","47","30494","30319","19040","18908","100",
"50","48","48","30863","30687","19287","19153","100",
"50","49","49","31465","31289","19535","19401","100",
"50","50","50","31836","31660","19781","19646","100",
