requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"47","1","1","6646","2640","2640","6646","2640","2000",
"47","2","1","6546","2640","2640","6596","2640","2000",
"47","3","1","6447","2640","2640","6546","2640","2000",
"47","4","1","6343","2640","2640","6495","2640","2000",
"47","5","1","6247","2640","2640","6445","2640","2000",
"47","6","1","6150","2640","2640","6397","2640","2000",
"47","7","1","6046","2640","2640","6346","2640","2000",
"47","8","1","5948","2640","2640","6296","2640","2000",
"47","9","1","5850","2640","2640","6247","2640","2000",
"47","10","1","5746","2640","2640","6197","2640","2000",
"47","11","1","5646","2640","2640","6147","2640","2000",
"47","12","1","5546","2640","2640","6097","2640","2000",
"47","13","1","5452","2640","2640","6047","2640","2000",
"47","14","1","5348","2640","2640","5997","2640","2000",
"47","15","1","5250","2640","2640","5947","2640","2000",
"47","16","1","5151","2640","2640","5897","2640","2000",
"47","17","1","5048","2640","2640","5848","2640","2000",
"47","18","1","4947","2640","2640","5798","2640","2000",
"47","19","1","4852","2640","2640","5748","2640","2000",
"47","20","1","4751","2640","2640","5698","2640","2000",
"47","21","1","4648","2640","2640","5648","2640","2000",
"50","22","2","6185","2276","2376","5672","2569","2000",
"50","23","2","6079","2276","2220","5690","2569","2000",
"50","24","2","5981","2276","2135","5702","2569","2000",
"50","25","2","5880","2276","2095","5709","2569","2000",
"50","26","2","5786","2276","2084","5712","2569","2000",
"50","27","2","5685","2276","2090","5711","2569","2000",
"50","28","2","5581","2276","2108","5706","2569","2000",
"50","29","2","5484","2276","2131","5699","2569","2000",
"50","30","2","5386","2276","2156","5688","2569","2000",
"50","31","2","5283","2276","2182","5675","2569","2000",
"50","32","2","5186","2276","2208","5660","2569","2000",
"50","33","2","5088","2276","2232","5643","2569","2000",
"50","34","2","4988","2276","2254","5624","2569","2000",
"50","35","2","4885","2276","2275","5603","2569","2000",
"50","36","2","4783","2276","2293","5580","2569","2000",
"50","37","2","4686","2276","2309","5556","2569","2000",
"50","38","2","4584","2276","2323","5530","2569","2000",
"50","39","2","4487","2276","2336","5503","2569","2000",
"50","40","2","4384","2276","2346","5475","2569","2000",
"50","41","2","4288","2276","2355","5446","2569","2000",
"50","42","3","5981","2068","2283","5459","2429","2000",
"50","43","3","5881","2068","2228","5469","2429","2000",
"50","44","3","5778","2068","2185","5476","2429","2000",
"50","45","3","5681","2068","2153","5480","2429","2000",
"50","46","3","5580","2068","2129","5483","2429","2000",
"50","47","3","5475","2068","2111","5482","2429","2000",
"50","48","3","5383","2068","2099","5480","2429","2000",
"50","49","3","5280","2068","2091","5476","2429","2000",
"50","50","3","5174","2068","2086","5470","2429","2000",
