requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"32","1","1","3250","3250","3250","3250","3250","0",
"38","2","2","4169","4169","4169","3710","3710","0",
"44","3","3","4771","4771","5286","4063","4063","0",
"48","4","4","5309","5309","6036","4375","4375","0",
"50","5","5","6144","6144","7553","4729","4729","0",
"50","6","6","6930","6930","8192","5096","5096","0",
"50","7","7","7464","7464","8245","5434","5434","0",
"50","8","8","8705","8705","9938","5843","5843","0",
"50","9","9","9181","9181","10187","6213","6213","0",
"50","10","10","10017","10017","10876","6594","6594","0",
"50","11","11","10777","10777","11578","6974","6974","0",
"50","12","12","11765","11765","12601","7374","7374","0",
"50","13","13","12521","12521","13410","7769","7769","0",
"50","14","14","13284","13284","14148","8163","8163","0",
"50","15","15","14355","14355","15193","8576","8576","0",
"50","16","16","14646","14646","15571","8955","8955","0",
"50","17","17","14935","14935","15675","9307","9307","0",
"50","18","18","15386","15386","15837","9645","9645","0",
"50","19","19","15907","15907","16122","9975","9975","0",
"50","20","20","16520","16520","16568","10302","10302","0",
"50","21","21","16884","16884","16923","10615","10615","0",
"50","22","22","17330","17330","17298","10921","10921","0",
"50","23","23","17850","17850","17746","11222","11222","0",
"50","24","24","18379","18379","18248","11520","11520","0",
"50","25","25","18831","18831","18737","11812","11812","0",
"50","26","26","19274","19274","19213","12100","12100","0",
"50","27","27","19797","19797","19732","12385","12385","0",
"50","28","28","20322","20322","20279","12668","12668","0",
"50","29","29","20770","20770","20802","12948","12948","0",
"50","30","30","21219","21219","21309","13223","13223","0",
"50","31","31","21744","21744","21845","13498","13498","0",
"50","32","32","22190","22190","22360","13770","13770","0",
"50","33","33","22716","22716","22899","14041","14041","0",
"50","34","34","23158","23158","23416","14309","14309","0",
"50","35","35","23682","23682","23953","14576","14576","0",
"50","36","36","24124","24124","24468","14842","14842","0",
"50","37","37","24661","24661","25007","15107","15107","0",
"50","38","38","25103","25103","25524","15370","15370","0",
"50","39","39","25632","25632","26059","15633","15633","0",
"50","40","40","26081","26081","26575","15895","15895","0",
"50","41","41","26595","26595","27102","16156","16156","0",
"50","42","42","27049","27049","27614","16415","16415","0",
"50","43","43","27576","27576","28141","16674","16674","0",
"50","44","44","28178","28178","28707","16936","16936","0",
"50","45","45","28627","28627","29248","17196","17196","0",
"50","46","46","29075","29075","29768","17454","17454","0",
"50","47","47","29513","29513","30267","17710","17710","0",
"50","48","48","29964","29964","30756","17966","17966","0",
"50","49","49","30491","30491","31260","18221","18221","0",
"50","50","50","30940","30940","31751","18476","18476","0",
