requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"5","1","1","2231","2231","2231","2231","2231","0",
"7","2","2","2435","2435","2435","2333","2333","0",
"8","3","3","2402","2402","2210","2356","2356","0",
"8","4","4","2531","2531","3223","2400","2400","0",
"10","5","5","2650","2650","3045","2450","2450","0",
"11","6","6","2699","2699","2850","2492","2492","0",
"12","7","7","2746","2746","2805","2528","2528","0",
"13","8","8","2792","2792","2823","2561","2561","0",
"15","9","9","2920","2920","3011","2601","2601","0",
"16","10","10","3051","3051","3204","2646","2646","0",
"17","11","11","3252","3252","3477","2701","2701","0",
"18","12","12","3298","3298","3536","2751","2751","0",
"19","13","13","3264","3264","3433","2790","2790","0",
"20","14","14","3310","3310","3388","2827","2827","0",
"22","15","15","3439","3439","3467","2868","2868","0",
"23","16","16","3482","3482","3513","2907","2907","0",
"24","17","17","3682","3682","3696","2952","2952","0",
"25","18","18","3652","3652","3733","2991","2991","0",
"26","19","19","3778","3778","3829","3032","3032","0",
"27","20","20","3823","3823","3891","3072","3072","0",
"29","21","21","3951","3951","4000","3114","3114","0",
"30","22","22","3995","3994","4071","3154","3154","0",
"31","23","23","4279","4279","4288","3203","3203","0",
"32","24","24","4247","4247","4378","3246","3246","0",
"33","25","25","4298","4298","4442","3288","3288","0",
"34","26","26","4504","4504","4585","3335","3335","0",
"36","27","27","4465","4465","4634","3377","3377","0",
"37","28","28","4672","4672","4761","3423","3423","0",
"38","29","29","4718","4718","4852","3468","3468","0",
"39","30","30","4834","4834","4955","3513","3513","0",
"41","31","31","5045","5045","5115","3563","3563","0",
"41","32","32","4857","4857","5113","3603","3603","0",
"43","33","33","4979","4979","5151","3645","3645","0",
"44","34","34","5107","5107","5220","3688","3688","0",
"45","35","35","5234","5234","5312","3732","3732","0",
"46","36","36","5281","5281","5384","3775","3775","0",
"47","37","37","5407","5407","5476","3819","3819","0",
"48","38","38","5372","5372","5516","3860","3860","0",
"49","39","39","5580","5580","5617","3904","3904","0",
"50","40","40","5703","5703","5729","3949","3949","0",
"50","41","41","5758","5758","5823","3993","3993","0",
"50","42","42","5799","5799","5897","4037","4037","0",
"50","43","43","5917","5917","5987","4080","4080","0",
"50","44","44","5890","5890","6034","4121","4121","0",
"50","45","45","6014","6014","6102","4163","4163","0",
"50","46","46","6068","6068","6164","4205","4204","0",
"50","47","47","6191","6191","6243","4247","4247","0",
"50","48","48","6232","6232","6309","4288","4288","0",
"50","49","49","6356","6356","6393","4330","4330","0",
"50","50","50","6404","6404","6465","4372","4372","0",
