requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"2","1","1","2129","2129","2129","2129","2129","0",
"3","2","2","1826","1826","1826","1978","1978","0",
"4","3","3","1763","1763","2084","1906","1906","0",
"5","4","4","1702","1702","1409","1855","1855","0",
"7","5","5","1794","1794","2168","1843","1843","0",
"7","6","6","1655","1655","1355","1812","1812","0",
"8","7","7","1899","1899","1971","1824","1824","0",
"9","8","8","1763","1763","1669","1816","1816","0",
"10","9","9","1617","1617","1332","1794","1794","0",
"11","10","10","1642","1642","1349","1779","1779","0",
"12","11","11","1967","1967","1879","1796","1796","0",
"13","12","12","1513","1513","1429","1773","1773","0",
"14","13","13","1602","1602","1389","1760","1760","0",
"15","14","14","1929","1929","1775","1772","1772","0",
"16","15","15","1784","1784","1785","1772","1772","0",
"17","16","16","1800","1800","1797","1774","1774","0",
"18","17","17","1743","1743","1740","1772","1772","0",
"19","18","18","1763","1763","1722","1772","1772","0",
"20","19","19","1540","1540","1522","1759","1759","0",
"21","20","20","1634","1634","1491","1753","1753","0",
"22","21","21","1806","1806","1611","1756","1756","0",
"23","22","22","1823","1823","1700","1759","1759","0",
"24","23","23","1691","1691","1663","1756","1756","0",
"25","24","24","1700","1700","1646","1753","1753","0",
"26","25","25","1867","1867","1743","1758","1758","0",
"27","26","26","2119","2119","1961","1772","1772","0",
"28","27","27","1970","1970","2012","1779","1779","0",
"29","28","28","1836","1836","1963","1781","1781","0",
"30","29","29","1936","1936","1977","1787","1787","0",
"31","30","30","1867","1867","1945","1789","1789","0",
"32","31","31","1808","1808","1887","1790","1790","0",
"33","32","32","1643","1643","1759","1785","1785","0",
"34","33","33","2168","2168","1920","1797","1797","0",
"35","34","34","1853","1853","1887","1799","1799","0",
"37","35","35","2025","2025","1939","1805","1805","0",
"37","36","36","1726","1726","1843","1803","1803","0",
"38","37","37","1750","1750","1778","1802","1802","0",
"39","38","38","1504","1504","1626","1794","1794","0",
"40","39","39","1794","1794","1629","1793","1793","0",
"41","40","40","1864","1864","1661","1796","1796","0",
"42","41","41","1882","1882","1695","1797","1797","0",
"43","42","42","1742","1742","1669","1796","1796","0",
"44","43","43","1606","1606","1599","1792","1792","0",
"45","44","44","1546","1546","1523","1786","1786","0",
"46","45","45","1793","1793","1553","1786","1786","0",
"47","46","46","1650","1650","1530","1784","1784","0",
"48","47","47","1586","1586","1491","1779","1779","0",
"49","48","48","1768","1768","1523","1779","1779","0",
"50","49","49","1776","1776","1554","1779","1779","0",
"50","50","50","1636","1636","1536","1776","1776","0",
