obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"3","1","1","2455","2455","2455","2455","0",
"4","2","2","2392","2392","2424","2424","0",
"4","3","3","1860","1860","2236","2236","0",
"5","4","4","1798","1798","2126","2126","0",
"6","5","5","1499","1499","2001","2001","0",
"7","6","6","1908","1907","1985","1985","0",
"8","7","7","1846","1846","1965","1965","0",
"9","8","8","1547","1547","1913","1913","0",
"10","9","9","1718","1718","1891","1891","0",
"11","10","10","1892","1892","1892","1891","0",
"12","11","11","1828","1828","1886","1886","0",
"13","12","12","1533","1532","1856","1856","0",
"14","13","13","1703","1703","1845","1844","0",
"15","14","14","1876","1876","1847","1847","0",
"16","15","15","1579","1579","1829","1829","0",
"17","16","16","1517","1517","1809","1809","0",
"18","17","17","1921","1921","1816","1816","0",
"19","18","18","1860","1860","1818","1818","0",
"20","19","19","1562","1562","1805","1805","0",
"21","20","20","1969","1969","1813","1813","0",
"22","21","21","1907","1907","1818","1818","0",
"23","22","22","1611","1611","1808","1808","0",
"24","23","23","1782","1782","1807","1807","0",
"25","24","24","1956","1956","1813","1813","0",
"26","25","25","1893","1893","1816","1816","0",
"27","26","26","1594","1593","1808","1808","0",
"28","27","27","1767","1767","1806","1806","0",
"29","28","28","1469","1469","1794","1794","0",
"30","29","29","1406","1406","1781","1781","0",
"31","30","30","1577","1577","1774","1774","0",
"32","31","31","1750","1750","1773","1773","0",
"33","32","32","1452","1452","1763","1763","0",
"34","33","33","1625","1625","1759","1759","0",
"36","34","34","2031","2031","1767","1767","0",
"36","35","35","1500","1500","1760","1759","0",
"37","36","36","1437","1437","1751","1750","0",
"38","37","37","1844","1844","1753","1753","0",
"39","38","38","1782","1782","1754","1754","0",
"40","39","39","1954","1954","1759","1759","0",
"41","40","40","1656","1656","1756","1756","0",
"42","41","41","1829","1829","1758","1758","0",
"43","42","42","1767","1767","1758","1758","0",
"44","43","43","1471","1471","1752","1752","0",
"45","44","44","1874","1874","1754","1754","0",
"46","45","45","1814","1814","1756","1756","0",
"47","46","46","1516","1516","1751","1751","0",
"48","47","47","1687","1687","1749","1749","0",
"49","48","48","1860","1860","1752","1751","0",
"50","49","49","1328","1328","1743","1743","0",
"50","50","50","1500","1500","1738","1738","0",
