obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"20","1","1","3960","3959","3960","3959","0",
"23","2","2","4225","4225","4093","4092","0",
"25","3","3","4494","4494","4226","4226","0",
"28","4","4","4997","4997","4419","4419","0",
"31","5","5","5264","5264","4588","4588","0",
"34","6","6","5769","5769","4785","4785","0",
"37","7","7","6039","6038","4964","4964","0",
"39","8","8","6306","6306","5132","5132","0",
"43","9","9","6808","6808","5318","5318","0",
"46","10","10","7312","7312","5517","5517","0",
"48","11","11","7581","7581","5705","5705","0",
"50","12","12","8083","8083","5903","5903","0",
"50","13","13","8352","8352","6092","6091","0",
"50","14","14","9092","9091","6306","6306","0",
"50","15","15","9360","9360","6509","6509","0",
"50","16","16","9863","9863","6719","6719","0",
"50","17","17","10132","10132","6920","6920","0",
"50","18","18","10870","10870","7139","7139","0",
"50","19","19","11606","11606","7374","7374","0",
"50","20","20","11875","11875","7599","7599","0",
"50","21","21","12379","12379","7827","7827","0",
"50","22","22","12645","12645","8046","8046","0",
"50","23","23","13155","13155","8268","8268","0",
"50","24","24","13419","13419","8483","8483","0",
"50","25","25","14156","14156","8710","8710","0",
"50","26","26","14192","14192","8921","8920","0",
"50","27","27","14694","14694","9134","9134","0",
"50","28","28","14963","14963","9343","9342","0",
"50","29","29","15467","15467","9554","9554","0",
"50","30","30","15735","15735","9760","9760","0",
"50","31","31","16238","16238","9969","9969","0",
"50","32","32","16507","16507","10173","10173","0",
"50","33","33","17009","17009","10380","10380","0",
"50","34","34","17278","17277","10583","10583","0",
"50","35","35","17782","17782","10789","10789","0",
"50","36","36","18050","18050","10990","10990","0",
"50","37","37","18554","18554","11195","11195","0",
"50","38","38","18822","18822","11396","11396","0",
"50","39","39","19324","19324","11599","11599","0",
"50","40","40","19593","19593","11799","11799","0",
"50","41","41","20096","20096","12001","12001","0",
"50","42","42","20365","20365","12200","12200","0",
"50","43","43","20870","20870","12402","12402","0",
"50","44","44","21137","21137","12600","12600","0",
"50","45","45","21641","21641","12801","12801","0",
"50","46","46","21909","21909","12999","12999","0",
"50","47","47","22413","22413","13200","13200","0",
"50","48","48","22682","22682","13397","13397","0",
"50","49","49","23187","23187","13597","13597","0",
"50","50","50","23454","23454","13794","13794","0",
