obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"7","1","1","3187","3187","3187","3187","0",
"7","2","2","2917","2917","3052","3052","0",
"9","3","3","3120","3120","3075","3075","0",
"10","4","4","3089","3089","3078","3078","0",
"11","5","5","3058","3058","3074","3074","0",
"12","6","6","3263","3263","3106","3106","0",
"13","7","7","3229","3229","3123","3123","0",
"14","8","8","3434","3434","3162","3162","0",
"15","9","9","3402","3402","3189","3189","0",
"17","10","10","3605","3605","3230","3230","0",
"18","11","11","3576","3576","3262","3262","0",
"19","12","12","3778","3778","3305","3305","0",
"20","13","13","3979","3979","3357","3357","0",
"21","14","14","3950","3950","3399","3399","0",
"22","15","15","3917","3917","3434","3434","0",
"24","16","16","4122","4122","3477","3477","0",
"25","17","17","4090","4090","3513","3513","0",
"26","18","18","4293","4293","3556","3556","0",
"27","19","19","4260","4260","3593","3593","0",
"28","20","20","4467","4467","3637","3637","0",
"30","21","21","4904","4904","3697","3697","0",
"31","22","22","4870","4870","3750","3750","0",
"32","23","23","4841","4841","3798","3798","0",
"33","24","24","4809","4809","3840","3840","0",
"35","25","25","5011","5011","3887","3887","0",
"35","26","26","4981","4981","3929","3929","0",
"37","27","27","5186","5186","3975","3975","0",
"38","28","28","5153","5153","4018","4018","0",
"39","29","29","5121","5121","4056","4056","0",
"40","30","30","5324","5324","4098","4098","0",
"41","31","31","5293","5293","4136","4136","0",
"42","32","32","5495","5495","4179","4179","0",
"43","33","33","5464","5464","4218","4218","0",
"45","34","34","5668","5668","4260","4260","0",
"47","35","35","6105","6105","4313","4313","0",
"47","36","36","5840","5840","4356","4356","0",
"48","37","37","5309","5309","4381","4381","0",
"50","38","38","6513","6513","4437","4437","0",
"50","39","39","6215","6215","4483","4483","0",
"50","40","40","6183","6183","4526","4526","0",
"50","41","41","6387","6387","4571","4571","0",
"50","42","42","6355","6355","4613","4613","0",
"50","43","43","6324","6324","4653","4653","0",
"50","44","44","6528","6528","4696","4696","0",
"50","45","45","6497","6497","4736","4736","0",
"50","46","46","6699","6699","4779","4779","0",
"50","47","47","6669","6669","4819","4819","0",
"50","48","48","6872","6872","4862","4862","0",
"50","49","49","6840","6840","4902","4902","0",
"50","50","50","7044","7044","4945","4945","0",
