requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"14","1","1","2684","2684","2684","2684","2684","0",
"17","2","2","3110","3110","3110","2897","2897","0",
"20","3","3","3530","3530","4595","3108","3108","0",
"23","4","4","3881","3881","4102","3302","3302","0",
"25","5","5","4150","4150","4282","3471","3471","0",
"28","6","6","4574","4574","5023","3655","3655","0",
"32","7","7","4996","4996","5550","3846","3846","0",
"34","8","8","5271","5271","5693","4024","4024","0",
"38","9","9","5849","5849","6393","4227","4227","0",
"41","10","10","6276","6276","6876","4432","4432","0",
"44","11","11","6699","6699","7285","4638","4638","0",
"46","12","12","7051","7051","7580","4839","4839","0",
"47","13","13","7402","7402","7852","5036","5036","0",
"50","14","14","8049","8049","8473","5252","5252","0",
"50","15","15","8638","8638","9149","5477","5477","0",
"50","16","16","9136","9136","9737","5706","5706","0",
"50","17","17","9480","9480","10130","5928","5928","0",
"50","18","18","9911","9911","10510","6149","6149","0",
"50","19","19","10258","10258","10818","6365","6365","0",
"50","20","20","10921","10921","11350","6593","6593","0",
"50","21","21","11183","11183","11695","6812","6812","0",
"50","22","22","11839","11839","12225","7040","7040","0",
"50","23","23","12346","12346","12758","7271","7271","0",
"50","24","24","12854","12854","13290","7504","7504","0",
"50","25","25","13275","13275","13763","7734","7734","0",
"50","26","26","13543","13543","14106","7958","7958","0",
"50","27","27","13657","13657","14278","8169","8169","0",
"50","28","28","13920","13920","14431","8374","8374","0",
"50","29","29","14271","14271","14628","8578","8578","0",
"50","30","30","14621","14621","14858","8779","8779","0",
"50","31","31","15046","15046","15156","8981","8981","0",
"50","32","32","15393","15393","15462","9182","9182","0",
"50","33","33","15823","15823","15817","9383","9383","0",
"50","34","34","16168","16168","16168","9583","9583","0",
"50","35","35","16586","16586","16549","9783","9783","0",
"50","36","36","16932","16932","16920","9981","9981","0",
"50","37","37","17356","17356","17319","10180","10180","0",
"50","38","38","17701","17701","17704","10378","10378","0",
"50","39","39","18134","18134","18115","10577","10577","0",
"50","40","40","18486","18486","18512","10775","10775","0",
"50","41","41","18900","18900","18924","10973","10973","0",
"50","42","42","19247","19247","19321","11170","11170","0",
"50","43","43","19679","19679","19738","11368","11368","0",
"50","44","44","20020","20020","20137","11565","11565","0",
"50","45","45","20445","20445","20551","11762","11762","0",
"50","46","46","20797","20797","20952","11959","11959","0",
"50","47","47","21218","21218","21366","12156","12156","0",
"50","48","48","21565","21565","21765","12352","12352","0",
"50","49","49","21984","21984","22175","12548","12548","0",
"50","50","50","22337","22337","22572","12744","12744","0",
