requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"43","1","1","4479","4079","4079","4479","4079","200",
"43","2","1","4331","4079","4079","4405","4079","150",
"43","3","1","4181","4079","4079","4330","4079","100",
"50","4","2","4732","4580","6083","4431","4330","50",
"50","5","2","4732","4580","4279","4491","4330","150",
"50","6","3","5051","4848","4794","4584","4502","100",
"50","7","3","4902","4848","4610","4630","4502","50",
"50","8","4","5452","5349","5528","4733","4714","0",
"50","9","4","5352","5349","5472","4801","4714","0",
"50","10","5","5721","5617","5727","4893","4895","0",
"50","11","5","5622","5617","5656","4960","4895","0",
"50","12","6","5990","5884","5892","5045","5060","0",
"50","13","6","5884","5884","5891","5110","5060","0",
"50","14","8","6969","6865","6944","5243","5448","0",
"50","15","8","6871","6865","7283","5351","5448","0",
"50","16","9","7342","7134","7575","5476","5635","100",
"50","17","9","7341","7134","7588","5585","5635","200",
"50","18","10","8285","7876","8143","5735","5859","300",
"50","19","10","8284","7876","8328","5870","5859","400",
"50","20","11","8737","8129","8524","6013","6066","500",
"50","21","11","8737","8129","8538","6143","6066","600",
"50","22","12","9449","8637","8828","6293","6280","700",
"50","23","12","9299","8637","8925","6424","6280","650",
"50","24","13","9993","9130","9240","6572","6499","750",
"50","25","13","9843","9130","9371","6703","6499","700",
"50","26","14","10322","9408","9561","6842","6707","800",
"50","27","14","10172","9408","9627","6966","6707","750",
"50","28","15","10632","9667","9763","7097","6904","850",
"50","29","15","10484","9667","9806","7213","6904","800",
"50","30","16","11035","10169","10058","7341","7108","750",
"50","31","16","10886","10169","10193","7455","7108","700",
"50","32","17","11203","10436","10382","7572","7304","650",
"50","33","17","11055","10436","10480","7678","7304","600",
"50","34","18","11607","10940","10752","7793","7506","550",
"50","35","18","11457","10940","10918","7898","7506","500",
"50","36","19","11777","11208","11127","8006","7701","450",
"50","37","19","11626","11208","11251","8104","7701","400",
"50","38","20","12181","11712","11525","8211","7901","350",
"50","39","20","12027","11712","11704","8309","7901","300",
"50","40","21","12346","11979","11919","8410","8096","250",
"50","41","21","12199","11979","12055","8502","8096","200",
"50","42","22","12747","12479","12324","8603","8295","150",
"50","43","22","12599","12479","12507","8696","8295","100",
"50","44","23","12919","12869","12766","8792","8494","50",
"50","45","24","13481","13481","13163","8896","8702","0",
"50","46","25","13841","13841","13577","9004","8907","0",
"50","47","26","14454","14454","14089","9120","9120","0",
"50","48","27","14812","14812","14591","9238","9331","0",
"50","49","28","15422","15422","15164","9365","9549","0",
"50","50","29","15784","15784","15714","9493","9764","0",
