requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"56","1","1","5529","5529","5529","5529","5529","0",
"63","2","2","6130","6130","6130","5830","5830","0",
"72","3","3","6964","6964","5566","6208","6208","0",
"77","4","4","7320","7320","6487","6486","6486","0",
"84","5","5","7935","7935","8388","6776","6776","0",
"96","6","6","9108","9008","10490","7164","7148","100",
"100","7","7","9577","9377","10154","7509","7466","200",
"107","8","8","10280","9980","10516","7855","7780","300",
"119","9","9","11467","11067","11928","8257","8146","400",
"124","10","10","11920","11420","12178","8623","8473","500",
"131","11","11","12628","12028","12613","8987","8796","600",
"142","12","12","13796","13096","13754","9388","9155","700",
"150","13","13","14510","13710","14502","9782","9505","800",
"154","14","14","14968","14068","14809","10152","9831","900",
"166","15","15","16146","15146","15748","10552","10185","1000",
"173","16","16","16855","15755","16468","10946","10533","1100",
"178","17","17","17310","16110","16846","11320","10861","1200",
"194","18","18","18955","17655","18140","11744","11239","1300",
"201","19","19","19662","18262","19070","12161","11608","1400",
"213","20","20","20827","19327","20164","12594","11994","1500",
"225","21","21","22003","20403","21339","13042","12395","1600",
"229","22","22","22467","20767","22025","13471","12775","1700",
"241","23","23","23648","21848","22929","13913","13170","1800",
"260","24","24","25514","23614","24416","14397","13605","1900",
"264","25","25","25983","23983","25344","14860","14020","2000",
"276","26","26","27156","25056","26352","15333","14445","2100",
"283","27","27","27858","25658","27129","15797","14860","2200",
"295","28","28","29029","26729","28026","16269","15284","2300",
"300","29","29","29504","27104","28618","16726","15691","2400",
"316","30","30","31040","28540","29577","17203","16120","2500",
"321","31","31","31709","29109","30338","17671","16539","2600",
"323","32","32","31854","29154","30702","18114","16933","2700",
"328","33","33","32311","29511","30949","18544","17314","2800",
"332","34","34","32779","29879","31130","18963","17684","2900",
"339","35","35","33482","30482","31380","19378","18049","3000",
"344","36","36","33953","30853","31587","19783","18405","3100",
"349","37","37","34421","31221","31770","20178","18751","3200",
"353","38","38","34894","31594","31945","20566","19089","3300",
"358","39","39","35368","31968","32121","20945","19419","3400",
"367","40","40","36145","32795","32488","21325","19754","3350",
"370","41","41","36233","32933","32732","21689","20075","3300",
