requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"38","1","1","4795","2794","2794","4795","2794","1000",
"38","2","1","4646","2794","2794","4721","2794","950",
"38","3","1","4490","2794","2794","4644","2794","900",
"38","4","1","4347","2794","2794","4570","2794","850",
"38","5","1","4196","2794","2794","4495","2794","800",
"38","6","1","4047","2794","2794","4420","2794","750",
"38","7","1","3896","2794","2794","4345","2794","700",
"38","8","1","3747","2794","2794","4271","2794","650",
"38","9","1","3597","2794","2794","4196","2794","600",
"38","10","1","3447","2794","2794","4121","2794","550",
"38","11","1","3298","2794","2794","4046","2794","500",
"48","12","2","4070","2717","2691","4048","2756","450",
"48","13","2","3900","2717","2664","4037","2756","400",
"48","14","2","3764","2717","2665","4017","2756","350",
"48","15","2","3620","2717","2677","3991","2756","300",
"48","16","2","3460","2717","2691","3958","2756","250",
"48","17","2","3318","2717","2705","3920","2756","200",
"48","18","2","3158","2717","2716","3878","2756","150",
"48","19","2","3021","2717","2724","3832","2756","100",
"48","20","2","2871","2717","2731","3784","2756","50",
"48","21","2","2721","2717","2736","3734","2756","0",
"50","22","3","3323","2413","2518","3715","2641","0",
"50","23","3","3223","2413","2391","3694","2641","0",
"50","24","3","3124","2413","2321","3670","2641","0",
"50","25","3","3025","2413","2289","3644","2641","0",
"50","26","3","2924","2413","2280","3616","2641","0",
"50","27","3","2823","2413","2285","3587","2641","0",
"50","28","3","2724","2413","2299","3556","2641","0",
"50","29","3","2624","2413","2317","3524","2641","0",
"50","30","3","2527","2413","2337","3491","2641","0",
"50","31","3","2417","2413","2357","3456","2641","0",
"50","32","5","3502","2802","2572","3458","2769","0",
"50","33","5","3403","2802","2729","3456","2769","0",
"50","34","5","3301","2802","2843","3451","2769","0",
"50","35","5","3204","2802","2924","3444","2769","0",
"50","36","5","3100","2802","2979","3435","2769","0",
"50","37","5","2990","2802","3016","3423","2769","0",
"50","38","5","2993","2802","3038","3411","2769","100",
"50","39","5","3005","2802","3048","3401","2769","200",
"50","40","6","3477","3065","3156","3403","2818","300",
"50","41","6","3327","3065","3234","3401","2818","250",
"50","42","7","3632","3070","3289","3407","2854","200",
"50","43","7","3632","3070","3326","3412","2854","300",
"50","44","7","3634","3070","3347","3417","2854","400",
"50","45","7","3634","3070","3357","3422","2854","500",
"50","46","8","4336","3437","3486","3442","2927","600",
"50","47","8","4187","3437","3582","3457","2927","550",
"50","48","8","4036","3437","3652","3470","2927","500",
"50","49","8","4038","3437","3701","3481","2927","600",
"50","50","9","4505","3805","3850","3502","3024","700",
