requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"50","1","1","12808","2802","2802","12808","2802","5000",
"50","2","1","12659","2802","2802","12734","2802","4950",
"50","3","1","12508","2802","2802","12658","2802","4900",
"50","4","1","12344","2802","2802","12580","2802","4850",
"50","5","1","12209","2802","2802","12506","2802","4800",
"50","6","1","12048","2802","2802","12429","2802","4750",
"50","7","1","11909","2802","2802","12355","2802","4700",
"50","8","1","11749","2802","2802","12279","2802","4650",
"50","9","1","11605","2802","2802","12204","2802","4600",
"50","10","1","11459","2802","2802","12130","2802","4550",
"50","11","1","11309","2802","2802","12055","2802","4500",
"50","12","1","11160","2802","2802","11981","2802","4450",
"50","13","1","11010","2802","2802","11906","2802","4400",
"50","14","1","10845","2802","2802","11830","2802","4350",
"50","15","1","10701","2802","2802","11755","2802","4300",
"50","16","1","10560","2802","2802","11680","2802","4250",
"50","17","1","10411","2802","2802","11606","2802","4200",
"50","18","1","10261","2802","2802","11531","2802","4150",
"50","19","1","10111","2802","2802","11456","2802","4100",
"50","20","1","9961","2802","2802","11381","2802","4050",
"50","21","1","9803","2802","2802","11306","2802","4000",
"50","22","1","9659","2802","2802","11231","2802","3950",
"50","23","1","9511","2802","2802","11157","2802","3900",
"50","24","1","9362","2802","2802","11082","2802","3850",
"50","25","1","9211","2802","2802","11007","2802","3800",
"50","26","1","9063","2802","2802","10932","2802","3750",
"50","27","1","8913","2802","2802","10857","2802","3700",
"50","28","1","8763","2802","2802","10783","2802","3650",
"50","29","1","8614","2802","2802","10708","2802","3600",
"50","30","1","8464","2802","2802","10633","2802","3550",
"50","31","1","8305","2802","2802","10558","2802","3500",
"50","32","1","8161","2802","2802","10483","2802","3450",
"50","33","1","8002","2802","2802","10408","2802","3400",
"50","34","1","7858","2802","2802","10333","2802","3350",
"50","35","1","7715","2802","2802","10258","2802","3300",
"50","36","1","7556","2802","2802","10183","2802","3250",
"50","37","1","7412","2802","2802","10108","2802","3200",
"50","38","1","7264","2802","2802","10033","2802","3150",
"50","39","1","7105","2802","2802","9958","2802","3100",
"50","40","1","6962","2802","2802","9883","2802","3050",
"50","41","1","6802","2802","2802","9808","2802","3000",
"50","42","1","6658","2802","2802","9733","2802","2950",
"50","43","1","6515","2802","2802","9658","2802","2900",
"50","44","1","6355","2802","2802","9583","2802","2850",
"50","45","1","6213","2802","2802","9508","2802","2800",
"50","46","1","6054","2802","2802","9433","2802","2750",
"50","47","1","5910","2802","2802","9358","2802","2700",
"50","48","1","5768","2802","2802","9283","2802","2650",
"50","49","1","5615","2802","2802","9209","2802","2600",
"50","50","1","5457","2802","2802","9134","2802","2550",
