requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"789","124","111","70794","66581","68907","44293","39707","4200",
"801","125","112","71464","66753","68900","44511","39948","4300",
"801","126","112","71466","66753","68877","44725","39948","4400",
"801","127","112","71466","66753","68839","44935","39948","4500",
"801","128","112","71454","66753","68788","45142","39948","4600",
"801","129","112","71469","66753","68726","45347","39948","4700",
"806","130","113","71923","66611","68637","45551","40184","4800",
"806","131","113","71924","66611","68540","45752","40184","4900",
"806","132","113","71924","66611","68437","45951","40184","5000",
"806","133","113","71925","66611","68329","46146","40184","5100",
"806","134","113","71925","66611","68216","46338","40184","5200",
"806","135","113","71925","66611","68100","46528","40184","5300",
"810","136","114","73990","68180","68165","46730","40430","5400",
"810","137","114","73793","68180","68215","46927","40430","5300",
"810","138","114","73593","68180","68252","47120","40430","5200",
"810","139","114","73394","68180","68277","47309","40430","5100",
"810","140","114","73195","68180","68290","47494","40430","5000",
"813","141","115","72327","66712","68127","47670","40658","5100",
"813","142","115","72326","66712","67967","47844","40658","5200",
"813","143","115","72327","66712","67808","48015","40658","5300",
"813","144","115","72328","66712","67652","48184","40658","5400",
"813","145","115","72328","66712","67500","48351","40658","5500",
"813","146","115","72328","66712","67350","48515","40658","5600",
"820","147","116","73035","66719","67204","48682","40883","5700",
"820","148","116","73035","66719","67062","48846","40883","5800",
"820","149","116","73036","66719","66923","49009","40883","5900",
"820","150","116","73034","66719","66787","49169","40883","6000",
"820","151","116","72835","66719","66656","49325","40883","5900",
"820","152","116","72621","66719","66527","49479","40883","5800",
"820","153","116","72437","66719","66403","49629","40883","5700",
"824","154","117","72699","66381","66247","49779","41101","5600",
"824","155","117","72498","66381","66098","49925","41101","5500",
"824","156","117","72298","66381","65954","50069","41101","5400",
"824","157","117","72108","66381","65816","50209","41101","5300",
"824","158","117","71900","66381","65683","50346","41101","5200",
"824","159","117","71686","66381","65556","50480","41101","5100",
"824","160","117","71500","66381","65435","50612","41101","5000",
"824","161","117","71303","66381","65318","50740","41101","4900",
"829","162","118","71568","65949","65165","50869","41312","4800",
"829","163","118","71368","65949","65018","50995","41312","4700",
"829","164","118","71155","65949","64880","51118","41312","4600",
"829","165","118","70968","65949","64748","51238","41312","4500",
"829","166","118","70755","65949","64623","51356","41312","4400",
"829","167","118","70570","65949","64505","51471","41312","4300",
"829","168","118","70370","65949","64393","51583","41312","4200",
"829","169","118","70171","65949","64287","51693","41312","4100",
"829","170","118","69972","65949","64188","51801","41312","4000",
"836","171","119","70481","65661","64067","51910","41516","3900",
"836","172","119","70281","65661","63953","52017","41516","3800",
"836","173","119","70081","65661","63846","52121","41516","3700",
"836","174","119","69883","65661","63746","52223","41516","3600",
"836","175","119","69682","65661","63652","52323","41516","3500",
"836","176","119","69484","65661","63564","52420","41516","3400",
"836","177","119","69285","65661","63482","52516","41516","3300",
"836","178","119","69085","65661","63406","52609","41516","3200",
"836","179","119","68885","65661","63335","52700","41516","3100",
"836","180","119","68687","65661","63270","52789","41516","3000",
"843","181","120","69181","65162","63165","52879","41713","2900",
"843","182","120","68983","65162","63068","52968","41713","2800",
"843","183","120","68783","65162","62977","53054","41713","2700",
"843","184","120","68583","65162","62893","53138","41713","2600",
"843","185","120","68383","65162","62815","53221","41713","2500",
"843","186","120","68186","65162","62744","53301","41713","2400",
"843","187","120","67971","65162","62678","53380","41713","2300",
"843","188","120","67787","65162","62618","53456","41713","2200",
"843","189","120","67573","65162","62563","53531","41713","2100",
"843","190","120","67387","65162","62514","53604","41713","2000",
"843","191","120","67188","65162","62469","53675","41713","1900",
"843","192","120","66989","65162","62429","53744","41713","1800",
"850","193","121","67477","64556","62344","53816","41902","1700",
"850","194","121","67276","64556","62265","53885","41902","1600",
"850","195","121","67078","64556","62193","53953","41902","1500",
"850","196","121","66865","64556","62127","54018","41902","1400",
"850","197","121","66678","64556","62067","54083","41902","1300",
"850","198","121","66480","64556","62013","54145","41902","1200",
"850","199","121","66279","64556","61964","54206","41902","1100",
"850","200","121","66081","64556","61920","54266","41902","1000",
"850","201","121","65868","64556","61882","54323","41902","900",
"850","202","121","65682","64556","61848","54380","41902","800",
"850","203","121","65483","64556","61820","54434","41902","700",
"850","204","121","65282","64556","61795","54488","41902","600",
"850","205","121","65083","64556","61775","54539","41902","500",
"857","206","122","65577","63857","61704","54593","42082","400",
"857","207","122","65379","63857","61640","54645","42082","300",
"857","208","122","65179","63857","61582","54696","42082","200",
"857","209","122","64980","63857","61530","54745","42082","100",
"857","210","122","64780","63857","61483","54793","42082","0",
"857","211","122","64679","63857","61442","54839","42082","0",
"857","212","122","64581","63857","61406","54885","42082","0",
"857","213","122","64471","63857","61375","54930","42082","0",
"857","214","122","64381","63857","61348","54975","42082","0",
"857","215","122","64283","63857","61326","55018","42082","0",
"857","216","122","64183","63857","61309","55060","42082","0",
"857","217","122","64078","63857","61295","55102","42082","0",
"857","218","122","63985","63857","61285","55143","42082","0",
"857","219","122","63883","63857","61279","55182","42082","0",
"867","220","123","64716","63294","61236","55226","42254","0",
"867","221","123","64617","63294","61198","55268","42254","0",
"867","222","123","64518","63294","61165","55310","42254","0",
"867","223","123","64419","63294","61137","55351","42254","0",
"867","224","123","64304","63294","61113","55391","42254","0",
"867","225","123","64212","63294","61093","55430","42254","0",
"867","226","123","64121","63294","61078","55468","42254","0",
"867","227","123","64022","63294","61067","55506","42254","0",
"867","228","123","63923","63294","61059","55543","42254","0",
"867","229","123","63808","63294","61056","55579","42254","0",
"867","230","123","63723","63294","61055","55615","42254","0",
"867","231","123","63608","63294","61058","55649","42254","0",
"867","232","123","63517","63294","61065","55683","42254","0",
"867","233","123","63412","63294","61074","55716","42254","0",
"867","234","123","63319","63294","61086","55749","42254","0",
"883","235","124","64858","63235","61097","55787","42424","0",
"883","236","124","64759","63235","61111","55825","42424","0",
"883","237","124","64660","63235","61127","55863","42424","0",
"883","238","124","64546","63235","61146","55899","42424","0",
"883","239","124","64452","63235","61168","55935","42424","0",
"883","240","124","64361","63235","61192","55970","42424","0",
"883","241","124","64252","63235","61218","56004","42424","0",
"883","242","124","64161","63235","61246","56038","42424","0",
"883","243","124","64064","63235","61276","56071","42424","0",
"883","244","124","63964","63235","61308","56104","42424","0",
"883","245","124","63850","63235","61342","56135","42424","0",
"883","246","124","63757","63235","61378","56166","42424","0",
"883","247","124","63666","63235","61415","56197","42424","0",
"883","248","124","63555","63235","61454","56226","42424","0",
"883","249","124","63466","63235","61494","56255","42424","0",
"883","250","124","63355","63235","61536","56284","42424","0",
"883","251","124","63268","63235","61579","56312","42424","0",
"942","252","125","69016","67293","61881","56362","42623","0",
"942","253","125","68919","67293","62175","56412","42623","0",
"942","254","125","68819","67293","62460","56460","42623","0",
"942","255","125","68719","67293","62738","56508","42623","0",
"942","256","125","68621","67293","63007","56556","42623","0",
"942","257","125","68521","67293","63269","56602","42623","0",
"942","258","125","68422","67293","63524","56648","42623","0",
"942","259","125","68320","67293","63772","56693","42623","0",
"942","260","125","68211","67293","64013","56738","42623","0",
"942","261","125","68122","67293","64248","56781","42623","0",
"942","262","125","68023","67293","64476","56824","42623","0",
