requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"46","1","1","6522","2522","2522","6522","2522","2000",
"46","2","1","6373","2522","2522","6448","2522","1950",
"46","3","1","6223","2522","2522","6373","2522","1900",
"46","4","1","6075","2522","2522","6298","2522","1850",
"46","5","1","5925","2522","2522","6224","2522","1800",
"46","6","1","5775","2522","2522","6149","2522","1750",
"46","7","1","5618","2522","2522","6073","2522","1700",
"46","8","1","5475","2522","2522","5998","2522","1650",
"46","9","1","5324","2522","2522","5923","2522","1600",
"46","10","1","5175","2522","2522","5849","2522","1550",
"46","11","1","5025","2522","2522","5774","2522","1500",
"46","12","1","4871","2522","2522","5698","2522","1450",
"46","13","1","4712","2522","2522","5623","2522","1400",
"46","14","1","4566","2522","2522","5547","2522","1350",
"46","15","1","4422","2522","2522","5472","2522","1300",
"46","16","1","4262","2522","2522","5396","2522","1250",
"46","17","1","4126","2522","2522","5322","2522","1200",
"46","18","1","3978","2522","2522","5247","2522","1150",
"46","19","1","3828","2522","2522","5172","2522","1100",
"46","20","1","3677","2522","2522","5098","2522","1050",
"46","21","1","3528","2522","2522","5023","2522","1000",
"50","22","2","5257","2405","2437","5034","2464","950",
"50","23","2","5107","2405","2387","5037","2464","900",
"50","24","2","4950","2405","2360","5033","2464","850",
"50","25","2","4800","2405","2347","5024","2464","800",
"50","26","2","4658","2405","2343","5010","2464","750",
"50","27","2","4510","2405","2346","4991","2464","700",
"50","28","2","4359","2405","2351","4969","2464","650",
"50","29","2","4210","2405","2358","4942","2464","600",
"50","30","2","4061","2405","2367","4913","2464","550",
"50","31","2","3910","2405","2375","4881","2464","500",
"50","32","2","3760","2405","2383","4846","2464","450",
"50","33","2","3609","2405","2391","4808","2464","400",
"50","34","2","3460","2405","2398","4769","2464","350",
"50","35","2","3310","2405","2405","4727","2464","300",
"50","36","2","3160","2405","2410","4683","2464","250",
"50","37","2","3011","2405","2416","4638","2464","200",
"50","38","2","2860","2405","2420","4591","2464","150",
"50","39","2","2696","2405","2424","4543","2464","100",
"50","40","2","2552","2405","2427","4493","2464","50",
"50","41","2","2410","2405","2430","4442","2464","0",
"50","42","4","3465","1555","2109","4419","2336","0",
"50","43","4","3470","1555","1859","4397","2336","100",
"50","44","4","3470","1555","1666","4376","2336","200",
"50","45","4","3321","1555","1519","4352","2336","150",
"50","46","4","3171","1555","1409","4327","2336","100",
"50","47","4","3022","1555","1330","4299","2336","50",
"50","48","4","2872","1555","1274","4269","2336","0",
"50","49","4","2767","1555","1237","4239","2336","0",
"50","50","4","2658","1555","1216","4207","2336","0",
