requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"36","1","1","4082","3078","3078","4082","3078","500",
"36","2","1","3933","3078","3078","4008","3078","450",
"36","3","1","3781","3078","3078","3932","3078","400",
"36","4","1","3632","3078","3078","3857","3078","350",
"36","5","1","3484","3078","3078","3782","3078","300",
"36","6","1","3329","3078","3078","3707","3078","250",
"48","7","3","4351","3699","4497","3799","3502","200",
"48","8","3","4354","3699","4231","3868","3502","300",
"48","9","3","4354","3699","3876","3922","3502","400",
"48","10","3","4203","3699","3637","3950","3502","350",
"48","11","3","4053","3699","3501","3960","3502","300",
"50","12","4","4615","3899","3702","4014","3601","250",
"50","13","4","4460","3899","3751","4049","3601","200",
"50","14","4","4308","3899","3748","4067","3601","150",
"50","15","4","4156","3899","3733","4073","3601","100",
"50","16","4","4012","3899","3720","4069","3601","50",
"50","17","5","4331","3859","3675","4085","3653","0",
"50","18","5","4226","3859","3655","4092","3653","0",
"50","19","5","4117","3859","3653","4094","3653","0",
"50","20","5","4032","3859","3660","4091","3653","0",
"50","21","5","3922","3859","3673","4083","3653","0",
"50","22","6","4532","4046","3826","4103","3718","0",
"50","23","6","4428","4046","3924","4117","3718","0",
"50","24","6","4332","4046","3987","4126","3718","0",
"50","25","6","4228","4046","4027","4130","3718","0",
"50","26","6","4131","4046","4051","4130","3718","0",
"50","27","7","4731","4246","4184","4152","3794","0",
"50","28","7","4631","4246","4270","4170","3794","0",
"50","29","7","4532","4246","4324","4182","3794","0",
"50","30","7","4432","4246","4356","4190","3794","0",
"50","31","7","4333","4246","4372","4195","3794","0",
"50","32","8","4462","3977","4244","4203","3817","0",
"50","33","8","4462","3977","4147","4211","3817","100",
"50","34","8","4305","3977","4074","4214","3817","50",
"50","35","8","4156","3977","4021","4212","3817","0",
"50","36","8","4062","3977","3983","4208","3817","0",
"50","37","9","4667","4480","4173","4221","3890","0",
"50","38","9","4567","4480","4318","4230","3890","0",
"50","39","10","4933","4747","4537","4248","3976","0",
"50","40","10","4834","4747","4702","4262","3976","0",
"50","41","11","5435","5247","5020","4291","4092","0",
"50","42","11","5336","5247","5260","4316","4092","0",
"50","43","12","5705","5515","5538","4348","4210","0",
"50","44","12","5607","5515","5746","4377","4210","0",
"50","45","13","6309","6017","6076","4420","4349","100",
"50","46","13","6153","6017","6325","4457","4349","50",
"50","47","14","6627","6286","6599","4504","4488","150",
"50","48","14","6628","6286","6803","4548","4488","250",
"50","49","15","7342","6747","7099","4605","4638","350",
"50","50","15","7342","6747","7321","4660","4638","450",
