requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"3","1","1","1387","1387","1387","1387","1387","0",
"4","2","2","1339","1339","1339","1363","1363","0",
"5","3","3","1273","1273","1393","1333","1333","0",
"6","4","4","1215","1215","1189","1304","1304","0",
"7","5","5","1158","1158","1120","1274","1274","0",
"8","6","6","1023","1023","848","1232","1232","0",
"9","7","7","1022","1022","989","1203","1203","0",
"10","8","8","1126","1126","1283","1193","1193","0",
"11","9","9","1068","1068","1201","1179","1179","0",
"12","10","10","1045","1045","1119","1165","1165","0",
"13","11","11","1028","1028","1059","1153","1153","0",
"14","12","12","1049","1049","1064","1144","1144","0",
"15","13","13","1142","1142","1176","1144","1144","0",
"16","14","14","1021","1021","1070","1135","1135","0",
"17","15","15","1034","1034","1029","1129","1129","0",
"18","16","16","1028","1028","1002","1122","1122","0",
"19","17","17","1138","1138","1092","1123","1123","0",
"20","18","18","1056","1056","1061","1120","1120","0",
"21","19","19","1091","1091","1071","1118","1118","0",
"22","20","20","1062","1062","1049","1115","1115","0",
"23","21","21","1040","1040","1017","1112","1112","0",
"24","22","22","1016","1016","980","1107","1107","0",
"25","23","23","1037","1037","971","1104","1104","0",
"26","24","24","1016","1016","953","1101","1101","0",
"27","25","25","1028","1028","950","1098","1098","0",
"28","26","26","1047","1047","962","1096","1096","0",
"29","27","27","1048","1048","971","1094","1094","0",
"30","28","28","1027","1027","966","1092","1092","0",
"31","29","29","1129","1129","1020","1093","1093","0",
"32","30","30","1020","1020","999","1090","1090","0",
"33","31","31","1065","1065","1008","1089","1089","0",
"34","32","32","1244","1244","1103","1095","1095","0",
"35","33","33","1030","1030","1067","1092","1092","0",
"36","34","34","1059","1059","1053","1091","1091","0",
"37","35","35","1070","1070","1047","1091","1091","0",
"38","36","36","1075","1075","1044","1090","1090","0",
"39","37","37","1060","1060","1035","1090","1090","0",
"40","38","38","1028","1028","1014","1088","1088","0",
"41","39","39","1381","1381","1143","1095","1095","0",
"42","40","40","1062","1062","1113","1095","1095","0",
"43","41","41","1085","1085","1098","1094","1094","0",
"44","42","42","1253","1253","1149","1098","1098","0",
"45","43","43","1034","1034","1106","1097","1097","0",
"46","44","44","1017","1017","1066","1095","1095","0",
"47","45","45","993","993","1024","1092","1092","0",
"48","46","46","1043","1043","1008","1091","1091","0",
"49","47","47","1128","1128","1025","1092","1092","0",
"49","48","48","1003","1003","996","1090","1090","0",
"50","49","49","1048","1048","988","1089","1089","0",
"50","50","50","1035","1035","977","1088","1088","0",
