requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"8","1","1","1474","1474","1474","1474","1474","0",
"9","2","2","1616","1616","1616","1545","1545","0",
"10","3","3","1488","1488","1148","1526","1526","0",
"11","4","4","1336","1336","1409","1479","1479","0",
"12","5","5","1492","1492","2219","1481","1481","0",
"13","6","6","1337","1337","1461","1458","1458","0",
"14","7","7","1452","1452","1669","1456","1456","0",
"15","8","8","1385","1385","1494","1447","1447","0",
"16","9","9","1642","1642","1895","1469","1469","0",
"16","10","10","1430","1430","1557","1465","1465","0",
"18","11","11","1476","1476","1493","1466","1466","0",
"19","12","12","1494","1494","1482","1469","1469","0",
"20","13","13","1493","1493","1469","1471","1471","0",
"21","14","14","1458","1458","1419","1470","1470","0",
"22","15","15","1324","1324","1255","1460","1460","0",
"23","16","16","1446","1446","1311","1459","1459","0",
"24","17","17","1353","1353","1261","1453","1453","0",
"25","18","18","1546","1546","1418","1458","1458","0",
"26","19","19","1413","1413","1394","1455","1455","0",
"26","20","20","1352","1352","1334","1451","1451","0",
"27","21","21","1334","1334","1290","1445","1445","0",
"28","22","22","1278","1278","1228","1437","1437","0",
"29","23","23","1350","1350","1247","1433","1433","0",
"30","24","24","1342","1342","1260","1430","1430","0",
"31","25","25","1289","1289","1240","1424","1424","0",
"32","26","26","1384","1384","1290","1422","1422","0",
"33","27","27","1306","1306","1282","1418","1418","0",
"34","28","28","1285","1285","1267","1414","1414","0",
"35","29","29","1253","1253","1242","1408","1408","0",
"36","30","30","1219","1219","1210","1401","1401","0",
"37","31","31","1296","1296","1231","1398","1398","0",
"38","32","32","1306","1306","1253","1395","1395","0",
"39","33","33","1304","1304","1271","1392","1392","0",
"40","34","34","1277","1277","1273","1389","1389","0",
"41","35","35","1242","1242","1260","1385","1385","0",
"41","36","36","1173","1173","1221","1379","1379","0",
"42","37","37","1161","1161","1188","1373","1373","0",
"44","38","38","1250","1250","1203","1370","1370","0",
"45","39","39","1224","1224","1205","1366","1366","0",
"45","40","40","1188","1188","1194","1362","1362","0",
"47","41","41","1162","1162","1177","1357","1357","0",
"48","42","42","1148","1148","1159","1352","1352","0",
"49","43","43","1367","1367","1229","1352","1352","0",
"50","44","44","1212","1212","1229","1349","1349","0",
"50","45","45","1189","1189","1222","1345","1345","0",
"50","46","46","1078","1078","1177","1340","1340","0",
"50","47","47","1599","1599","1320","1345","1345","0",
"50","48","48","1179","1179","1296","1342","1342","0",
"50","49","49","1120","1120","1256","1337","1337","0",
"50","50","50","1293","1293","1280","1336","1336","0",
