requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"2","1","1","1427","1427","1427","1427","1427","0",
"3","2","2","1156","1156","1156","1292","1291","0",
"4","3","3","1179","1179","1683","1254","1254","0",
"5","4","4","1009","1009","944","1193","1193","0",
"6","5","5","1103","1103","1161","1175","1175","0",
"7","6","6","1032","1032","918","1151","1151","0",
"8","7","7","1225","1225","1366","1162","1162","0",
"9","8","8","1158","1158","1168","1161","1161","0",
"10","9","9","1144","1144","1051","1159","1159","0",
"11","10","10","1051","1051","861","1148","1148","0",
"12","11","11","1011","1011","770","1136","1136","0",
"13","12","12","1012","1012","778","1126","1126","0",
"14","13","13","1298","1298","1165","1139","1139","0",
"14","14","14","992","992","967","1128","1128","0",
"16","15","15","1077","1077","974","1125","1125","0",
"17","16","16","1020","1020","925","1118","1118","0",
"18","17","17","1186","1186","1065","1122","1122","0",
"19","18","18","1195","1195","1147","1127","1127","0",
"20","19","19","1015","1015","1035","1121","1121","0",
"21","20","20","1051","1051","1000","1117","1117","0",
"22","21","21","1028","1028","964","1113","1113","0",
"23","22","22","1173","1173","1052","1116","1115","0",
"24","23","23","1054","1054","1024","1113","1113","0",
"25","24","24","1062","1062","1012","1111","1111","0",
"26","25","25","1101","1101","1031","1110","1110","0",
"27","26","26","1097","1097","1042","1110","1110","0",
"28","27","27","1054","1054","1024","1108","1108","0",
"29","28","28","1057","1057","1014","1106","1106","0",
"30","29","29","1004","1004","980","1103","1103","0",
"31","30","30","1029","1029","970","1100","1100","0",
"32","31","31","1118","1118","1011","1101","1101","0",
"33","32","32","1048","1048","1006","1099","1099","0",
"34","33","33","1101","1101","1029","1099","1099","0",
"35","34","34","1024","1024","1010","1097","1097","0",
"36","35","35","1034","1034","1002","1095","1095","0",
"37","36","36","1075","1075","1014","1094","1094","0",
"38","37","37","1136","1136","1050","1096","1096","0",
"39","38","38","1027","1027","1032","1094","1094","0",
"40","39","39","1026","1026","1018","1092","1092","0",
"41","40","40","1089","1089","1033","1092","1092","0",
"42","41","41","1016","1016","1016","1090","1090","0",
"43","42","42","1027","1027","1007","1089","1089","0",
"44","43","43","1024","1024","1000","1087","1087","0",
"45","44","44","1133","1133","1034","1088","1088","0",
"46","45","45","1022","1022","1022","1087","1087","0",
"47","46","46","1035","1035","1017","1086","1086","0",
"48","47","47","1093","1093","1033","1086","1086","0",
"49","48","48","1187","1187","1078","1088","1088","0",
"50","49","49","1012","1012","1057","1086","1086","0",
"50","50","50","1123","1123","1074","1087","1087","0",
