obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"5","1","1","2483","2483","2483","2483","0",
"6","2","2","2425","2425","2454","2454","0",
"7","3","3","1657","1657","2188","2188","0",
"7","4","4","1339","1339","1976","1976","0",
"7","5","5","2367","2367","2054","2054","0",
"8","6","6","1100","1100","1895","1895","0",
"9","7","7","1147","1147","1788","1788","0",
"10","8","8","1142","1142","1708","1708","0",
"11","9","9","1087","1087","1639","1639","0",
"12","10","10","1108","1108","1586","1586","0",
"12","11","11","996","996","1532","1532","0",
"14","12","12","1068","1068","1493","1493","0",
"15","13","13","1038","1038","1458","1458","0",
"16","14","14","1216","1216","1441","1441","0",
"17","15","15","1108","1108","1419","1419","0",
"18","16","16","1100","1100","1399","1399","0",
"19","17","17","1094","1094","1381","1381","0",
"20","18","18","1063","1063","1363","1363","0",
"21","19","19","1032","1032","1346","1346","0",
"22","20","20","1314","1314","1344","1344","0",
"23","21","21","1073","1073","1331","1331","0",
"24","22","22","1095","1095","1321","1321","0",
"25","23","23","1116","1116","1312","1312","0",
"26","24","24","1058","1058","1301","1301","0",
"27","25","25","1392","1392","1305","1305","0",
"29","26","26","1069","1069","1296","1296","0",
"29","27","27","1595","1595","1307","1307","0",
"29","28","28","985","985","1295","1295","0",
"31","29","29","1110","1110","1289","1289","0",
"32","30","30","1026","1026","1280","1280","0",
"33","31","31","1127","1127","1275","1275","0",
"34","32","32","1278","1278","1275","1275","0",
"35","33","33","1011","1011","1267","1267","0",
"36","34","34","1109","1109","1263","1263","0",
"37","35","35","1026","1026","1256","1256","0",
"38","36","36","1023","1023","1249","1249","0",
"39","37","37","1068","1068","1244","1244","0",
"40","38","38","1166","1166","1242","1242","0",
"41","39","39","1059","1059","1238","1238","0",
"42","40","40","1079","1079","1234","1234","0",
"43","41","41","1439","1439","1239","1239","0",
"44","42","42","1016","1016","1233","1233","0",
"45","43","43","1142","1142","1231","1231","0",
"46","44","44","1084","1084","1228","1228","0",
"47","45","45","1027","1027","1223","1223","0",
"48","46","46","1073","1073","1220","1220","0",
"49","47","47","1069","1069","1217","1217","0",
"50","48","48","1116","1116","1215","1215","0",
"50","49","49","1136","1136","1213","1213","0",
"50","50","50","1078","1078","1211","1211","0",
