obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"3","1","1","2462","2462","2462","2462","0",
"3","2","2","1483","1483","1973","1973","0",
"4","3","3","1522","1522","1822","1822","0",
"6","4","4","2296","2296","1941","1941","0",
"7","5","5","2074","2074","1967","1967","0",
"7","6","6","1128","1128","1828","1828","0",
"8","7","7","1040","1040","1715","1715","0",
"9","8","8","1079","1079","1636","1636","0",
"10","9","9","1044","1044","1570","1570","0",
"11","10","10","1163","1163","1529","1529","0",
"12","11","11","1077","1077","1488","1488","0",
"13","12","12","1143","1143","1459","1459","0",
"14","13","13","1028","1028","1426","1426","0",
"15","14","14","1095","1095","1402","1402","0",
"16","15","15","1059","1059","1380","1380","0",
"17","16","16","1074","1074","1360","1360","0",
"18","17","17","1090","1090","1345","1345","0",
"19","18","18","1131","1131","1333","1333","0",
"20","19","19","1094","1094","1320","1320","0",
"21","20","20","1110","1110","1310","1310","0",
"22","21","21","1231","1231","1306","1306","0",
"23","22","22","1117","1117","1297","1297","0",
"24","23","23","1131","1131","1290","1290","0",
"25","24","24","1199","1199","1286","1286","0",
"26","25","25","1032","1032","1276","1276","0",
"27","26","26","1132","1132","1271","1271","0",
"28","27","27","1011","1011","1261","1261","0",
"29","28","28","1107","1107","1255","1255","0",
"30","29","29","1043","1043","1248","1248","0",
"31","30","30","1084","1084","1243","1243","0",
"32","31","31","1074","1074","1237","1237","0",
"33","32","32","1142","1142","1234","1234","0",
"34","33","33","1054","1054","1229","1229","0",
"35","34","34","1172","1172","1227","1227","0",
"37","35","35","1647","1647","1239","1239","0",
"37","36","36","2675","2675","1279","1279","0",
"38","37","37","1817","1817","1294","1294","0",
"39","38","38","1131","1131","1289","1289","0",
"40","39","39","1120","1120","1285","1285","0",
"41","40","40","1059","1059","1279","1279","0",
"42","41","41","1128","1128","1276","1276","0",
"43","42","42","1010","1010","1269","1269","0",
"44","43","43","1159","1159","1267","1267","0",
"45","44","44","1043","1043","1262","1262","0",
"46","45","45","1085","1085","1258","1258","0",
"47","46","46","1125","1125","1255","1255","0",
"48","47","47","1116","1116","1252","1252","0",
"49","48","48","1080","1080","1248","1248","0",
"50","49","49","1147","1147","1246","1246","0",
"50","50","50","1058","1058","1242","1242","0",
