obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"5","1","1","2438","2437","2438","2437","0",
"6","2","2","2029","2029","2234","2233","0",
"7","3","3","1639","1639","2035","2035","0",
"7","4","4","2326","2326","2108","2108","0",
"8","5","5","1514","1514","1989","1989","0",
"8","6","6","1107","1107","1842","1842","0",
"9","7","7","1123","1123","1739","1739","0",
"10","8","8","1279","1279","1682","1682","0",
"11","9","9","1156","1156","1623","1623","0",
"12","10","10","1219","1219","1583","1583","0",
"13","11","11","1375","1375","1564","1564","0",
"14","12","12","1343","1343","1546","1546","0",
"15","13","13","1498","1498","1542","1542","0",
"16","14","14","1233","1233","1520","1520","0",
"17","15","15","1296","1296","1505","1505","0",
"18","16","16","1123","1123","1481","1481","0",
"19","17","17","1093","1093","1458","1458","0",
"20","18","18","1108","1108","1439","1439","0",
"21","19","19","1309","1309","1432","1432","0",
"23","20","20","1061","1061","1413","1413","0",
"23","21","21","1841","1841","1434","1434","0",
"24","22","22","1312","1312","1428","1428","0",
"25","23","23","1138","1138","1416","1416","0",
"26","24","24","1153","1153","1405","1405","0",
"27","25","25","1221","1221","1397","1397","0",
"28","26","26","1233","1233","1391","1391","0",
"29","27","27","1107","1107","1381","1380","0",
"30","28","28","1124","1124","1371","1371","0",
"32","29","29","1153","1153","1364","1364","0",
"33","30","30","2264","2264","1394","1394","0",
"34","31","31","1185","1185","1387","1387","0",
"35","32","32","2061","2061","1408","1408","0",
"35","33","33","1108","1108","1399","1399","0",
"36","34","34","1124","1124","1391","1391","0",
"37","35","35","1092","1092","1382","1382","0",
"38","36","36","1390","1390","1383","1383","0",
"39","37","37","1124","1124","1376","1376","0",
"40","38","38","1093","1093","1368","1368","0",
"41","39","39","1155","1155","1363","1363","0",
"42","40","40","1124","1124","1357","1357","0",
"43","41","41","1186","1186","1353","1353","0",
"44","42","42","1202","1202","1349","1349","0",
"45","43","43","1171","1171","1345","1345","0",
"46","44","44","1092","1092","1339","1339","0",
"47","45","45","1154","1154","1335","1335","0",
"48","46","46","1170","1170","1331","1331","0",
"49","47","47","1233","1233","1329","1329","0",
"50","48","48","1108","1108","1325","1325","0",
"50","49","49","1171","1171","1322","1322","0",
"50","50","50","1046","1046","1316","1316","0",
