requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"8","1","1","1477","1477","1477","1477","1477","0",
"9","2","2","1441","1441","1441","1459","1459","0",
"10","3","3","1644","1644","2331","1521","1521","0",
"11","4","4","1514","1514","1795","1519","1519","0",
"12","5","5","1497","1497","1225","1515","1515","0",
"14","6","6","1682","1682","1954","1542","1542","0",
"15","7","7","1633","1633","1741","1556","1556","0",
"16","8","8","1652","1652","1691","1567","1567","0",
"17","9","9","1667","1667","1680","1579","1579","0",
"18","10","10","1818","1818","1905","1602","1602","0",
"19","11","11","1771","1771","1857","1618","1618","0",
"20","12","12","1774","1774","1813","1631","1631","0",
"21","13","13","1761","1761","1762","1640","1640","0",
"23","14","14","1858","1858","1844","1656","1656","0",
"24","15","15","1861","1861","1872","1670","1670","0",
"25","16","16","1908","1908","1921","1685","1685","0",
"26","17","17","1946","1946","1969","1700","1700","0",
"27","18","18","1930","1930","1968","1713","1713","0",
"29","19","19","1933","1933","1960","1725","1725","0",
"30","20","20","2226","2226","2181","1750","1750","0",
"32","21","21","2224","2224","2295","1772","1772","0",
"32","22","22","2134","2134","2280","1789","1789","0",
"33","23","23","2117","2117","2243","1803","1803","0",
"34","24","24","2367","2367","2373","1826","1826","0",
"35","25","25","2252","2252","2370","1844","1844","0",
"37","26","26","2302","2302","2386","1861","1861","0",
"38","27","27","2367","2367","2424","1880","1880","0",
"40","28","28","2419","2419","2468","1899","1899","0",
"41","29","29","2451","2451","2506","1918","1918","0",
"42","30","30","2439","2439","2516","1936","1936","0",
"42","31","31","2407","2407","2497","1951","1951","0",
"44","32","32","2494","2494","2520","1968","1968","0",
"45","33","33","2464","2464","2513","1983","1983","0",
"46","34","34","2593","2593","2563","2001","2001","0",
"47","35","35","2600","2600","2597","2018","2018","0",
"47","36","36","2615","2615","2622","2034","2034","0",
"49","37","37","2649","2649","2650","2051","2051","0",
"49","38","38","2632","2632","2659","2066","2066","0",
"50","39","39","2671","2671","2677","2082","2082","0",
"50","40","40","2705","2705","2699","2097","2097","0",
"50","41","41","2788","2788","2744","2114","2114","0",
"50","42","42","2805","2805","2781","2131","2131","0",
"50","43","43","2809","2809","2807","2147","2147","0",
"50","44","44","2846","2846","2836","2163","2163","0",
"50","45","45","2944","2944","2890","2180","2180","0",
"50","46","46","2958","2958","2934","2197","2197","0",
"50","47","47","2925","2925","2954","2212","2212","0",
"50","48","48","3043","3043","3005","2229","2229","0",
"50","49","49","3108","3108","3063","2247","2247","0",
"50","50","50","3096","3096","3102","2264","2264","0",
