requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"2","1","1","1833","1833","1833","1833","1833","0",
"3","2","2","1408","1408","1408","1621","1621","0",
"4","3","3","1156","1156","1185","1466","1466","0",
"5","4","4","1073","1073","1540","1368","1368","0",
"6","5","5","1236","1236","1654","1341","1341","0",
"7","6","6","1091","1091","870","1299","1299","0",
"8","7","7","1090","1090","815","1269","1269","0",
"9","8","8","1080","1080","823","1246","1246","0",
"10","9","9","1105","1105","897","1230","1230","0",
"11","10","10","1281","1281","1206","1235","1235","0",
"12","11","11","1059","1059","931","1219","1219","0",
"13","12","12","1059","1059","836","1206","1206","0",
"14","13","13","1030","1030","777","1192","1192","0",
"15","14","14","1096","1096","848","1185","1185","0",
"16","15","15","1046","1046","838","1176","1176","0",
"17","16","16","1042","1042","841","1168","1168","0",
"18","17","17","1121","1121","926","1165","1165","0",
"19","18","18","1108","1108","963","1162","1162","0",
"20","19","19","1108","1108","984","1159","1159","0",
"21","20","20","1092","1092","984","1156","1156","0",
"22","21","21","1152","1152","1028","1155","1155","0",
"23","22","22","1091","1091","1010","1153","1153","0",
"24","23","23","1095","1095","1001","1150","1150","0",
"25","24","24","1096","1096","995","1148","1148","0",
"26","25","25","1081","1081","981","1145","1145","0",
"27","26","26","1157","1157","1020","1146","1146","0",
"28","27","27","1123","1123","1026","1144","1144","0",
"29","28","28","1135","1135","1035","1144","1144","0",
"30","29","29","1172","1172","1062","1145","1145","0",
"31","30","30","1215","1215","1103","1148","1148","0",
"32","31","31","1374","1374","1212","1155","1155","0",
"33","32","32","1151","1151","1176","1155","1155","0",
"34","33","33","1149","1149","1146","1155","1155","0",
"35","34","34","1157","1157","1126","1155","1155","0",
"36","35","35","1077","1077","1072","1152","1152","0",
"37","36","36","1313","1313","1137","1157","1157","0",
"38","37","37","1030","1030","1062","1154","1154","0",
"39","38","38","1072","1072","1022","1151","1151","0",
"40","39","39","1075","1075","994","1149","1149","0",
"41","40","40","1058","1058","965","1147","1147","0",
"42","41","41","1076","1076","951","1145","1145","0",
"43","42","42","1124","1124","960","1145","1145","0",
"44","43","43","1064","1064","945","1143","1143","0",
"45","44","44","1075","1075","939","1142","1142","0",
"46","45","45","1073","1073","935","1140","1140","0",
"47","46","46","1125","1125","950","1140","1140","0",
"48","47","47","1040","1040","935","1138","1138","0",
"49","48","48","1139","1139","957","1137","1137","0",
"50","49","49","1169","1169","985","1138","1138","0",
"50","50","50","1109","1109","990","1137","1137","0",
