obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"34","1","1","3310","3310","3310","3310","0",
"34","2","2","3255","3255","3283","3283","0",
"35","3","3","3296","3296","3287","3287","0",
"37","4","4","3282","3282","3286","3286","0",
"40","5","5","3464","3464","3321","3321","0",
"43","6","6","3995","3995","3434","3434","0",
"44","7","7","3786","3786","3484","3484","0",
"47","8","8","3922","3922","3539","3539","0",
"50","9","9","4105","4105","3602","3602","0",
"50","10","10","4470","4470","3689","3689","0",
"50","11","11","4464","4464","3759","3759","0",
"50","12","12","4505","4505","3821","3821","0",
"50","13","13","4592","4591","3880","3880","0",
"50","14","14","4773","4773","3944","3944","0",
"50","15","15","4861","4861","4005","4005","0",
"50","16","16","5184","5184","4079","4079","0",
"50","17","17","5130","5130","4141","4141","0",
"50","18","18","5265","5265","4203","4203","0",
"50","19","19","5397","5397","4266","4266","0",
"50","20","20","5579","5579","4332","4332","0",
"50","21","21","5809","5809","4402","4402","0",
"50","22","22","6131","6131","4481","4481","0",
"50","23","23","6078","6078","4550","4550","0",
"50","24","24","6446","6446","4629","4629","0",
"50","25","25","6674","6674","4711","4711","0",
"50","26","26","7044","7044","4801","4801","0",
"50","27","27","6989","6989","4882","4882","0",
"50","28","28","6937","6937","4955","4955","0",
"50","29","29","6977","6977","5025","5025","0",
"50","30","30","7112","7112","5094","5094","0",
"50","31","31","7294","7294","5165","5165","0",
"50","32","32","7381","7381","5235","5235","0",
"50","33","33","7513","7513","5304","5304","0",
"50","34","34","7745","7745","5375","5375","0",
"50","35","35","7917","7917","5448","5448","0",
"50","36","36","7865","7865","5515","5515","0",
"50","37","37","7999","7999","5582","5582","0",
"50","38","38","8485","8485","5659","5659","0",
"50","39","39","8267","8267","5726","5726","0",
"50","40","40","8554","8554","5796","5796","0",
"50","41","41","8590","8590","5864","5864","0",
"50","42","42","8725","8725","5933","5933","0",
"50","43","43","8858","8858","6001","6001","0",
"50","44","44","8992","8992","6069","6069","0",
"50","45","45","9308","9308","6141","6141","0",
"50","46","46","9440","9440","6212","6212","0",
"50","47","47","9689","9689","6286","6286","0",
"50","48","48","9529","9529","6354","6354","0",
"50","49","49","9665","9665","6421","6421","0",
"50","50","50","9892","9892","6491","6491","0",
