requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"19","1","1","1788","1788","1788","1788","1788","0",
"19","2","2","1832","1832","1832","1810","1810","0",
"20","3","3","1777","1777","1458","1799","1799","0",
"23","4","4","1928","1928","2587","1831","1831","0",
"25","5","5","2061","2061","2377","1877","1877","0",
"28","6","6","2228","2228","2466","1936","1936","0",
"30","7","7","2344","2344","2466","1994","1994","0",
"33","8","8","2607","2607","2813","2071","2071","0",
"36","9","9","2723","2723","2884","2143","2143","0",
"38","10","10","2859","2859","2959","2215","2215","0",
"40","11","11","2992","2992","3049","2285","2285","0",
"42","12","12","3060","3060","3070","2350","2350","0",
"43","13","13","3244","3244","3227","2419","2419","0",
"44","14","14","3429","3429","3436","2491","2491","0",
"46","15","15","3597","3597","3639","2565","2565","0",
"48","16","16","3634","3634","3704","2632","2631","0",
"49","17","17","3736","3736","3774","2696","2696","0",
"50","18","18","3920","3920","3925","2764","2764","0",
"50","19","19","4177","4177","4176","2839","2839","0",
"50","20","20","4247","4247","4324","2909","2909","0",
"50","21","21","4448","4448","4517","2983","2982","0",
"50","22","22","4549","4549","4658","3054","3054","0",
"50","23","23","4902","4902","4946","3134","3134","0",
"50","24","24","4974","4974","5129","3211","3211","0",
"50","25","25","5159","5159","5319","3289","3289","0",
"50","26","26","5254","5254","5457","3364","3364","0",
"50","27","27","5445","5445","5618","3442","3442","0",
"50","28","28","5495","5495","5716","3515","3515","0",
"50","29","29","5661","5661","5835","3589","3589","0",
"50","30","30","5803","5803","5958","3662","3662","0",
"50","31","31","5932","5932","6077","3736","3736","0",
"50","32","32","5971","5971","6148","3805","3805","0",
"50","33","33","6134","6134","6249","3876","3876","0",
"50","34","34","6289","6289","6367","3947","3947","0",
"50","35","35","6443","6443","6498","4018","4018","0",
"50","36","36","6580","6580","6630","4089","4089","0",
"50","37","37","6834","6834","6814","4164","4164","0",
"50","38","38","6788","6788","6909","4233","4233","0",
"50","39","39","7060","7060","7070","4305","4305","0",
"50","40","40","7028","7028","7158","4373","4373","0",
"50","41","41","7393","7393","7347","4447","4447","0",
"50","42","42","7281","7281","7429","4515","4514","0",
"50","43","43","7416","7416","7524","4582","4582","0",
"50","44","44","7615","7615","7650","4651","4651","0",
"50","45","45","7714","7714","7767","4719","4719","0",
"50","46","46","7849","7849","7889","4787","4787","0",
"50","47","47","8015","8015","8024","4856","4856","0",
"50","48","48","8214","8214","8183","4926","4926","0",
"50","49","49","8535","8535","8399","4999","4999","0",
"50","50","50","8389","8389","8510","5067","5067","0",
