obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"3","1","1","2316","2315","2316","2315","0",
"3","2","2","1454","1454","1885","1885","0",
"4","3","3","1344","1344","1705","1704","0",
"5","4","4","1141","1141","1564","1564","0",
"6","5","5","1033","1033","1458","1457","0",
"7","6","6","1063","1063","1392","1392","0",
"8","7","7","1048","1048","1343","1343","0",
"9","8","8","1080","1080","1310","1310","0",
"10","9","9","1112","1111","1288","1288","0",
"11","10","10","1141","1141","1273","1273","0",
"12","11","11","1080","1080","1256","1255","0",
"14","12","12","1093","1093","1242","1242","0",
"14","13","13","2140","2140","1311","1311","0",
"15","14","14","1172","1172","1301","1301","0",
"16","15","15","1110","1110","1288","1288","0",
"17","16","16","1098","1098","1277","1276","0",
"18","17","17","1079","1079","1265","1265","0",
"19","18","18","1015","1015","1251","1251","0",
"20","19","19","1142","1142","1245","1245","0",
"21","20","20","1126","1126","1239","1239","0",
"22","21","21","1111","1111","1233","1233","0",
"23","22","22","1094","1094","1227","1227","0",
"24","23","23","1078","1078","1220","1220","0",
"25","24","24","1062","1062","1214","1214","0",
"26","25","25","1096","1096","1209","1209","0",
"27","26","26","1033","1033","1202","1202","0",
"28","27","27","1111","1111","1199","1199","0",
"29","28","28","1093","1093","1195","1195","0",
"30","29","29","1079","1079","1191","1191","0",
"31","30","30","1064","1064","1187","1187","0",
"32","31","31","1141","1141","1185","1185","0",
"33","32","32","1127","1127","1184","1184","0",
"34","33","33","1110","1110","1181","1181","0",
"35","34","34","1236","1236","1183","1183","0",
"36","35","35","1079","1079","1180","1180","0",
"37","36","36","1064","1064","1177","1177","0",
"38","37","37","1142","1142","1176","1176","0",
"39","38","38","1032","1032","1172","1172","0",
"40","39","39","1110","1110","1170","1170","0",
"41","40","40","1095","1095","1169","1169","0",
"42","41","41","1126","1126","1168","1168","0",
"43","42","42","1062","1062","1165","1165","0",
"44","43","43","1095","1095","1163","1163","0",
"45","44","44","1032","1032","1160","1160","0",
"46","45","45","1249","1249","1162","1162","0",
"48","46","46","1079","1079","1161","1161","0",
"48","47","47","2311","2311","1185","1185","0",
"49","48","48","1343","1343","1188","1188","0",
"50","49","49","1049","1049","1186","1185","0",
"50","50","50","1125","1125","1184","1184","0",
