obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"13","1","1","2308","2308","2308","2308","0",
"14","2","2","2294","2294","2301","2301","0",
"15","3","3","2281","2281","2294","2294","0",
"15","4","4","2128","2128","2253","2253","0",
"17","5","5","2255","2255","2253","2253","0",
"17","6","6","2150","2150","2236","2236","0",
"19","7","7","3771","3771","2455","2455","0",
"21","8","8","2405","2405","2449","2449","0",
"23","9","9","2676","2676","2474","2474","0",
"24","10","10","3354","3354","2562","2562","0",
"27","11","11","2825","2825","2586","2586","0",
"27","12","12","3272","3272","2643","2643","0",
"27","13","13","3119","3119","2680","2680","0",
"30","14","14","3080","3080","2708","2708","0",
"30","15","15","2926","2926","2723","2723","0",
"31","16","16","2820","2820","2729","2729","0",
"31","17","17","3468","3468","2772","2772","0",
"33","18","18","3183","3183","2795","2795","0",
"34","19","19","3030","3030","2808","2808","0",
"35","20","20","3016","3016","2818","2818","0",
"36","21","21","3098","3098","2831","2831","0",
"37","22","22","3040","3040","2841","2841","0",
"38","23","23","3122","3122","2853","2853","0",
"40","24","24","3249","3249","2870","2870","0",
"41","25","25","3238","3238","2884","2884","0",
"42","26","26","3271","3271","2899","2899","0",
"43","27","27","3259","3258","2913","2912","0",
"44","28","28","3295","3295","2926","2926","0",
"45","29","29","3327","3327","2940","2940","0",
"46","30","30","3361","3361","2954","2954","0",
"48","31","31","3490","3490","2971","2971","0",
"49","32","32","3430","3430","2986","2986","0",
"50","33","33","3652","3652","3006","3006","0",
"50","34","34","3547","3547","3022","3022","0",
"50","35","35","3675","3675","3040","3040","0",
"50","36","36","3614","3614","3056","3056","0",
"50","37","37","3557","3557","3070","3070","0",
"50","38","38","3638","3638","3085","3085","0",
"50","39","39","3765","3765","3102","3102","0",
"50","40","40","3800","3800","3120","3120","0",
"50","41","41","3744","3744","3135","3135","0",
"50","42","42","3776","3776","3150","3150","0",
"50","43","43","3809","3809","3166","3166","0",
"50","44","44","3892","3891","3182","3182","0",
"50","45","45","3878","3878","3198","3197","0",
"50","46","46","4006","4006","3215","3215","0",
"50","47","47","3981","3981","3231","3231","0",
"50","48","48","4108","4108","3250","3250","0",
"50","49","49","5213","5213","3290","3290","0",
"50","50","50","4659","4659","3317","3317","0",
